serial_timesteps,total_timesteps,fps,true_reward,policy_loss,value_loss,n_updates,ep_len_mean,policy_entropy,approxkl,time_elapsed,clipfrac,explained_variance,ep_reward_mean
250,250,82,-0.42181215,0.36042386,61699207000.0,1,0.99,5.676982,6.3710427e+19,0.00012445449829101562,0.92679995,-130819100246015.0,-0.4180606064200401
500,500,2223,-0.42139947,0.36431807,6844318000.0,2,0.99,5.6805344,3.1771018e+18,3.2176740169525146,0.95359993,-54858677747711.0,-0.4180606064200401
750,750,2239,-0.422279,0.36488947,343104320.0,3,0.99,5.682017,1.585363e+17,3.3680083751678467,0.9524,-1.8326407267693363e+17,-0.4180606064200401
1000,1000,2207,-0.42204216,0.050058383,62046988.0,4,0.99,5.6819777,1.411269e+16,3.5182809829711914,0.92080003,-2313201647615.0,-0.4180606064200401
1250,1250,2255,-0.42193043,0.36320585,101837330.0,5,0.99,5.6813555,9.854472e+16,3.669827699661255,0.93439996,-2694410141695.0,-0.4180606064200401
1500,1500,2216,-0.4230224,0.36577633,109681360.0,6,0.99,5.6813903,2588031600000000.0,3.8191587924957275,0.95199996,-629609332735.0,-0.4180606064200401
1750,1750,2288,-0.422709,0.312536,227461500.0,7,0.99,5.679845,2.2036313e+19,3.9701144695281982,0.9408,-246946791423.0,-0.4180606064200401
2000,2000,2079,-0.4227953,0.36157468,114182610.0,8,0.99,5.676539,1.960566e+18,4.117699861526489,0.9276,-2692154392575.0,-0.4180606064200401
2250,2250,2262,-0.21956663,0.03889682,1139527400.0,9,0.99,5.674771,4.4405764e+18,4.276696443557739,0.9167999,-81320108031.0,-0.2136625814437866
2500,2500,2079,-0.4218673,0.360983,794220700.0,10,0.99,5.6732845,1.6937581e+18,4.425685167312622,0.936,-24526016479231.0,-0.4180606064200401
2750,2750,2137,-0.42202392,0.34167632,553823600.0,11,0.99,5.672082,1.7955365e+17,4.583266496658325,0.9244,-8025056215039.0,-0.4180606064200401
3000,3000,2281,-0.4228794,0.36158583,321431550.0,12,0.99,5.667066,4.2487658e+18,4.735305070877075,0.946,-2959454502911.0,-0.4180606064200401
3250,3250,2256,-0.42133752,0.1804013,30195446.0,13,0.99,5.6630754,3.4543653e+16,4.880359649658203,0.9323999,-32840867839.0,-0.4180606064200401
3500,3500,1907,-0.6271813,0.35801908,3377086000.0,14,0.99,5.660567,7.863858e+17,5.026129722595215,0.9068,-1104742055935.0,-0.6225228917598724
3750,3750,2278,-0.42260295,0.3387627,47586060.0,15,0.99,5.662687,7.0416875e+18,5.192025899887085,0.90760005,-214688186367.0,-0.4180606064200401
4000,4000,2281,-0.62726337,0.32790494,502433200.0,16,0.99,5.663354,4.031019e+17,5.336439371109009,0.9108,-264336818175.0,-0.6225228917598724
4250,4250,2209,-0.62880117,0.34706566,207039660.0,17,0.99,5.66526,4.032095e+17,5.480743169784546,0.90079993,-3171273391734783.0,-0.6225228917598724
4500,4500,1865,-0.4220693,0.36213833,938190500.0,18,0.99,5.667395,1.9561733e+17,5.628999710083008,0.94119996,-27687156449279.0,-0.4180606064200401
4750,4750,2237,-0.42198047,0.3596307,141629540.0,19,0.99,5.672963,2.568088e+17,5.797757863998413,0.94879997,-2034636554239.0,-0.4180606064200401
5000,5000,2247,-0.6284886,0.3602896,610886400.0,20,0.99,5.67576,7685917000000000.0,5.944763422012329,0.9044,-36531418955775.0,-0.6225228917598724
5250,5250,2264,-0.6265485,0.12230798,307108770.0,21,0.99,5.676909,1607745000000000.0,6.090708494186401,0.9064,-43165483007.0,-0.6225228917598724
5500,5500,2233,-0.5261858,0.35709578,2479115500.0,22,0.99,5.677129,6437856000000000.0,6.23628830909729,0.9176,-281098158079.0,-0.521324386894703
