true_reward,total_timesteps,explained_variance,n_updates,ep_reward_mean,value_loss,policy_entropy,approxkl,time_elapsed,clipfrac,fps,policy_loss,ep_len_mean,serial_timesteps
-17.822418,250,-112685245005823.0,1,-17.70289295196533,620995500000000.0,5.6757264,5.689951e+27,0.00013065338134765625,0.99799997,85,0.3974679,0.99,250
-14.86595,500,-22570789240831.0,2,-14.751591596603394,252783150000000.0,5.675767,1.679784e+27,3.084357261657715,0.996,2227,0.37476736,0.99,500
-14.936328,750,-5042096570367.0,3,-14.751591596603394,59844397000000.0,5.6761837,8.21876e+25,3.235017776489258,0.996,2265,0.36008635,0.99,750
-17.867607,1000,-747829437923327.0,4,-17.70289295196533,44798430000000.0,5.676422,3.2194213e+26,3.383970260620117,0.996,2174,0.4000376,0.99,1000
-17.884424,1250,-37337140559871.0,5,-17.70289295196533,433800580000.0,5.676528,4.482284e+26,3.5384984016418457,0.996,2238,0.04952275,0.99,1250
-8.952674,1500,-27138709258239.0,6,-8.848988885879516,226821010000000.0,5.6746798,2.6245659e+29,3.688810348510742,0.99799997,2254,0.005179799,0.99,1500
-9.059813,1750,-95504908287.0,7,-8.848988885879516,7448129000000.0,5.671441,6.197545e+29,3.8383543491363525,0.99799997,2240,0.035957,0.99,1750
-22.274445,2000,-346055671807.0,8,-22.085129699707032,8800694000000.0,5.6724596,4.2604742e+27,3.9889159202575684,0.9964,2249,0.3897613,0.99,2000
-22.336699,2250,-38171086847.0,9,-22.085129699707032,5832488500000.0,5.672966,1.15887e+26,4.139024019241333,0.996,2230,0.39630753,0.99,2250
-22.344492,2500,-1277435969535.0,10,-22.174563102722168,15111334000000.0,5.6731057,6.8000953e+24,4.28955078125,0.996,2180,0.3974159,0.99,2500
-22.2944,2750,-569347080191.0,11,-22.174563102722168,22392361000000.0,5.672862,4.6350566e+24,4.441978216171265,0.996,2158,0.40043798,0.99,2750
-22.231937,3000,-624099262463.0,12,-22.085129699707032,12831708000000.0,5.672698,9.228148e+22,4.594177007675171,0.996,2245,0.35469478,0.99,3000
-22.366737,3250,-369442455551.0,13,-22.174563102722168,16696838000000.0,5.672698,3.2091322e+24,4.740463495254517,0.996,2287,0.32881126,0.99,3250
-22.34409,3500,-879498690559.0,14,-22.174563102722168,15010709000000.0,5.6727953,2.4183217e+23,4.884536266326904,0.996,2172,0.3970132,0.99,3500
-22.283148,3750,-218360102911.0,15,-22.174563102722168,11150430000000.0,5.6728983,7.5827574e+21,5.0352783203125,0.996,2183,0.28605497,0.99,3750
-22.315325,4000,-344388501503.0,16,-22.085129699707032,5345456400000.0,5.672673,8.451184e+24,5.185067415237427,0.996,2200,0.375403,0.99,4000
-22.325066,4250,-951494311935.0,17,-22.174563102722168,10767007000000.0,5.6717043,9.2174875e+24,5.333142280578613,0.996,2195,0.08513055,0.99,4250
