clipfrac,policy_loss,true_reward,fps,value_loss,policy_entropy,n_updates,time_elapsed,approxkl,serial_timesteps,total_timesteps,explained_variance,ep_len_mean,ep_reward_mean
0.88759995,0.371481,-0.010796638,86,61770.46,5.677018,1,0.00012493133544921875,241225950.0,250,250,-627661957234687.0,0.99,-0.010689068231731652
0.8972,0.033415344,-0.010755099,1705,5943.07,5.678973,2,3.049201250076294,761188800.0,500,500,-13539668393983.0,0.99,-0.010646943524479867
0.8967999,0.302015,-0.010783142,1879,5503.255,5.676072,3,3.275688648223877,132758610.0,750,750,-9727596560383.0,0.99,-0.010675027929246426
0.8964,0.3276583,-0.010783089,2226,1338.4785,5.674647,4,3.4470789432525635,3775502.5,1000,1000,-5688677367807.0,0.99,-0.010675027929246426
0.8959999,0.26636058,-0.010782754,2219,731.3552,5.6741266,5,3.5977935791015625,2411006.2,1250,1250,-3098817331199.0,0.99,-0.010675027929246426
0.8844,0.28960538,-0.010782918,2260,430.11346,5.674206,6,3.7485709190368652,40437480.0,1500,1500,-2057384755199.0,0.99,-0.010675027929246426
0.8964,0.3310061,-0.010782844,2147,315.19818,5.6742544,7,3.897949695587158,4406019.0,1750,1750,-1134589902847.0,0.99,-0.010675027929246426
0.8964,0.28706357,-0.010782832,2233,446.0562,5.674303,8,4.052594900131226,2141635.2,2000,2000,-214345089023.0,0.99,-0.010675027929246426
0.89559996,0.38946062,-0.01078282,2151,316.37164,5.674328,9,4.202898979187012,521191.34,2250,2250,-639808372735.0,0.99,-0.010675027929246426
0.89119995,0.18224283,-0.010782873,2180,278.22635,5.6743364,10,4.358086109161377,2489.9473,2500,2500,-260807671807.0,0.99,-0.010675027929246426
0.87679994,0.27695578,-0.010782805,2138,347.80765,5.674342,11,4.51091194152832,7303721.5,2750,2750,-664303632383.0,0.99,-0.010675027929246426
0.89559996,0.2779331,-0.010783135,2144,152.16544,5.6743426,12,4.663052797317505,1144916.6,3000,3000,-31394994175.0,0.99,-0.010675027929246426
0.8908,0.18053184,-0.010783074,2217,107.10226,5.6743426,13,4.814877986907959,2622176.8,3250,3250,-107521179647.0,0.99,-0.010675027929246426
0.8863999,0.2967489,-0.010783144,2190,231.13252,5.674412,14,4.963043689727783,441128000.0,3500,3500,-843971756031.0,0.99,-0.010675027929246426
0.8964,0.10260843,-0.010797096,2216,231.36638,5.674741,15,5.112250328063965,11776383.0,3750,3750,-448233994190847.0,0.99,-0.010689070131629706
0.8964,0.21552153,-0.010797069,2146,21.550404,5.6749415,16,5.260047912597656,107414660.0,4000,4000,-44345063374847.0,0.99,-0.010689070131629706
0.89559996,0.1113533,-0.010796774,2204,121.437416,5.6750526,17,5.4117865562438965,1827065.6,4250,4250,-26880707133439.0,0.99,-0.010689070131629706
0.89439994,0.26831642,-0.01079694,2256,31.049866,5.6739798,18,5.5601513385772705,147413740.0,4500,4500,-302901690367.0,0.99,-0.010689070131629706
0.8972,0.35051018,-0.010797016,2185,144.14346,5.6697483,19,5.7061967849731445,6382992.0,4750,4750,-339207658668031.0,0.99,-0.010689070131629706
