total_timesteps,ep_reward_mean,value_loss,fps,n_updates,ep_len_mean,serial_timesteps,approxkl,policy_entropy,clipfrac,true_reward,explained_variance,time_elapsed,policy_loss
250,-0.011303563257679344,62186.508,86,1,0.99,250,124708780.0,5.67577,0.89399993,-0.011417824,-4411631492661247.0,0.00012350082397460938,0.36944774
500,-0.011297633489593863,7335.764,1728,2,0.99,500,34830116.0,5.675723,0.8964,-0.011411701,-161252416421887.0,3.046476364135742,0.325359
750,-0.011297633489593863,3845.6243,1857,3,0.99,750,59109480.0,5.6763444,0.8964,-0.011411761,-33115909128191.0,3.2299747467041016,0.2987928
1000,-0.011297633489593863,2729.013,2150,4,0.99,1000,3574915.2,5.678223,0.8964,-0.011411692,-18327254597631.0,3.4030230045318604,0.32210433
1250,-0.011297633489593863,292.22247,2188,5,0.99,1250,2081920.6,5.6776433,0.8959999,-0.01141173,-7609447350271.0,3.557908535003662,0.31355858
1500,-0.011297633489593863,520.23254,2159,6,0.99,1500,67144370.0,5.676856,0.8919999,-0.011411729,-5736218230783.0,3.7102370262145996,0.3046767
1750,-0.011297633489593863,730.1895,2169,7,0.99,1750,29161942.0,5.6768036,0.8964,-0.011411713,-4685285556223.0,3.8639025688171387,0.30233538
2000,-0.011297633489593863,570.27405,2116,8,0.99,2000,554357.94,5.679325,0.8964,-0.011411795,-14757250727935.0,4.018056631088257,0.31749034
2250,-0.011297633489593863,951.07874,2184,9,0.99,2250,9823598.0,5.680229,0.8891999,-0.01141176,-14224058220543.0,4.17490291595459,0.26527882
2500,-0.011297633489593863,221.87656,2218,10,0.99,2500,1124362.6,5.680376,0.89559996,-0.011411745,-4152969920511.0,4.329875707626343,0.32109684
2750,-0.011297633489593863,102.995255,2220,11,0.99,2750,39184.94,5.6803617,0.8948,-0.011411715,-2051485466623.0,4.4798994064331055,0.31497306
3000,-0.011297633489593863,301.0357,2155,12,0.99,3000,137035310.0,5.680354,0.88839996,-0.011411739,-6673717002239.0,4.627411365509033,0.20148838
3250,-0.011303563546389341,334.41025,2276,13,0.99,3250,5198575.0,5.680594,0.8964,-0.011417706,-1386819572727807.0,4.778685808181763,0.21706438
3500,-0.011303563546389341,157.10796,1605,14,0.99,3500,128816.86,5.6807494,0.8964,-0.011417631,-113092948131839.0,4.923757076263428,0.2804796
3750,-0.011303563546389341,142.08772,2200,15,0.99,3750,2405952.5,5.680806,0.8964,-0.011417691,-265801181429759.0,5.1143457889556885,0.07050791
4000,-0.011303563546389341,73.626175,2139,16,0.99,4000,40078376.0,5.680829,0.89559996,-0.011417731,-507582758256639.0,5.2630980014801025,0.37349853
4250,-0.01130356295965612,373.03668,2165,17,0.99,4250,2493506.0,5.6785913,0.8964,-0.011417703,-188537337020415.0,5.414582967758179,0.19507147
4500,-0.011297633489593863,407.9466,2202,18,0.99,4500,12974614.0,5.6652536,0.8964,-0.011411768,-3168631783423.0,5.565747976303101,0.3141313
4750,-0.011297633489593863,340.65924,2237,19,0.99,4750,1654843.2,5.6607027,0.8948,-0.011411809,-6186450026495.0,5.7142651081085205,0.32943255
5000,-0.011297633489593863,208.81662,2216,20,0.99,5000,35515.566,5.65956,0.8948,-0.011411732,-2338789523455.0,5.860637664794922,0.31310755
