ep_reward_mean,fps,n_updates,serial_timesteps,value_loss,policy_loss,approxkl,time_elapsed,total_timesteps,clipfrac,explained_variance,true_reward,ep_len_mean,policy_entropy
-3.760177767276764,85,1,250,6209361000000.0,0.40670237,4.9951614e+23,0.00014781951904296875,250,0.9712,-48011744903167.0,-3.7869942,0.99,5.6770873
-3.1349929189682006,1570,2,500,816818200000.0,0.37393913,1.0344779e+23,3.139279365539551,500,0.9944,-732493774847.0,-3.169539,0.99,5.6812186
-3.1349929189682006,2246,3,750,14844802000.0,0.35347435,2.00608e+21,3.3380520343780518,750,0.9896,-19596640255.0,-3.1597886,0.99,5.68358
-3.1349929189682006,2323,4,1000,30370507000.0,0.090926126,5.3884787e+19,3.4883430004119873,1000,0.9936,-64784314367.0,-3.1658754,0.99,5.6840754
-3.1349929189682006,2273,5,1250,84583960000.0,0.124866724,1.2850872e+18,3.634809970855713,1250,0.9892,-183744692223.0,-3.1868448,0.99,5.684264
-3.1349929189682006,2425,6,1500,38923395000.0,0.20371275,9.40084e+18,3.7829487323760986,1500,0.9887999,-89518751743.0,-3.172001,0.99,5.6842337
-3.1349929189682006,2415,7,1750,24105062000.0,0.3622187,2.4640293e+19,3.924980878829956,1750,0.97319996,-27392712703.0,-3.1681035,0.99,5.683834
-3.1349929189682006,2415,8,2000,66013090000.0,0.23108163,5.777581e+17,4.067305564880371,2000,0.9952,-90101161983.0,-3.168587,0.99,5.6836185
-3.1349929189682006,1531,9,2250,50301050000.0,1.1969306,3.0552826e+24,4.209326505661011,2250,0.9944,-89024020479.0,-3.1645787,0.99,5.6835403
-3.760177767276764,2346,10,2500,18214515000.0,0.42009887,2.5905097e+22,4.4109108448028564,2500,0.99399996,-13256551825407.0,-3.7956064,0.99,5.6835833
-3.760177767276764,2363,11,2750,60511840000.0,0.20447321,8.422734e+24,4.5548317432403564,2750,0.99599993,-9317988171775.0,-3.8046443,0.99,5.683369
-3.760177767276764,2366,12,3000,6910677000.0,0.3784527,1.4707764e+23,4.696290016174316,3000,0.9896,-5695045894143.0,-3.797223,0.99,5.6826878
-3.760177767276764,2396,13,3250,44048310000.0,0.3202654,4.206763e+21,4.8374183177948,3250,0.984,-1166039318527.0,-3.793212,0.99,5.6828794
-3.760177767276764,2240,14,3500,22549360000.0,0.29433268,5.439185e+24,4.976776361465454,3500,0.9952,-1309317529599.0,-3.7890656,0.99,5.6869287
-2.8909930416941645,2395,15,3750,276787700000.0,0.19912814,9.019038e+22,5.123605728149414,3750,0.71040004,-384695107583.0,-2.0639179,1.39,5.6891923
-2.7681526543200015,2410,16,4000,165951600000.0,0.1736342,1.6451478e+21,5.260362386703491,4000,0.7204,-269121568767.0,-2.0467517,1.38,5.6900115
-2.9391682552546263,2429,17,4250,88855400000.0,0.21706855,2.7585124e+19,5.396444797515869,4250,0.72480005,-142972944383.0,-2.1987426,1.38,5.6903086
-2.7631849336624144,2429,18,4500,25827566000.0,0.20031369,4.3406365e+17,5.53147029876709,4500,0.71040004,-34225475583.0,-2.0360146,1.39,5.6904135
-2.7972214947640897,1986,19,4750,26420361000.0,0.26133925,7648936000000000.0,5.666298151016235,4750,0.7271999,-26299875327.0,-2.0910647,1.36,5.6904526
-2.760031035542488,2415,20,5000,24595330000.0,0.116130635,116159810000000.0,5.82414698600769,5000,0.7184,-29377468415.0,-2.0225809,1.37,5.690467
-2.7965591658651827,2408,21,5250,23176073000.0,0.18207332,2347876500000.0,5.960621118545532,5250,0.72919995,-33879044095.0,-2.1166134,1.34,5.690473
-2.7078454196453094,2402,22,5500,15705025000.0,0.10546182,35645130000.0,6.096390247344971,5500,0.72440004,-13875453951.0,-1.9926689,1.35,5.6904745
-2.856497247591615,2404,23,5750,45918974000.0,0.13884482,761964300.0,6.2335991859436035,5750,0.7267999,-38813241343.0,-2.1066062,1.34,5.690475
-2.8916729485988615,2411,24,6000,27104555000.0,0.25061354,70839310.0,6.369684219360352,6000,0.7268001,-37632147455.0,-2.0706158,1.37,5.690475
-2.917345590442419,2405,25,6250,26672087000.0,0.1492453,103973420.0,6.505526065826416,6250,0.72080004,-26505777151.0,-2.0728183,1.36,5.690475
-2.883084302395582,2425,26,6500,22732694000.0,0.27316347,96790290.0,6.641091346740723,6500,0.72959995,-37307277311.0,-2.1692877,1.34,5.690475
-2.779264630675316,1983,27,6750,11495372000.0,0.25020462,205932900000.0,6.777267217636108,6750,0.71879995,-18758961151.0,-2.0641236,1.33,5.690475
-2.846698024570942,2395,28,7000,9082698000.0,0.15272042,4718897000.0,6.93516993522644,7000,0.72160006,-11324459007.0,-2.0793393,1.39,5.690475
-2.850111019015312,2208,29,7250,10700753000.0,0.2203763,1145720600.0,7.0719029903411865,7250,0.72879994,-13194597375.0,-2.1253223,1.35,5.690475
-2.7794934517145156,2339,30,7500,9400044000.0,0.2621904,12922925000.0,7.219045400619507,7500,0.7212,-10999657471.0,-2.0295048,1.35,5.690475
-2.853721511811018,2215,31,7750,15574611000.0,0.26926917,1057858400.0,7.358936786651611,7750,0.7351999,-18573858815.0,-2.1148565,1.36,5.690475
-2.8743235152959823,2350,32,8000,26155885000.0,0.20465514,579572800.0,7.505083799362183,8000,0.722,-36714655743.0,-2.1585188,1.35,5.690475
-2.856628009676933,2352,33,8250,16450573000.0,0.32127553,54806315000.0,7.644563674926758,8250,0.7208,-15359599615.0,-2.0981648,1.37,5.690475
-3.007220521569252,2237,34,8500,25819924000.0,0.25825828,4447655000.0,7.783066511154175,8500,0.71080005,-29926678527.0,-2.1022916,1.39,5.690475
-2.8384407879412175,2149,35,8750,26783420000.0,0.25644964,3527327700.0,7.9269773960113525,8750,0.73160005,-40749252607.0,-2.1499276,1.34,5.690475
-2.814973073154688,2385,36,9000,22210028000.0,0.2746793,7.949373e+16,8.075541496276855,9000,0.7332,-35438809087.0,-2.1088026,1.34,5.690475
-2.97379009783268,2321,37,9250,14742323000.0,1.0153596,2.0466046e+19,8.21283745765686,9250,0.73240006,-20059703295.0,-2.1472726,1.35,5.690475
