explained_variance,policy_entropy,value_loss,n_updates,ep_reward_mean,clipfrac,fps,total_timesteps,policy_loss,serial_timesteps,ep_len_mean,approxkl,time_elapsed,true_reward
-474007186964479.0,5.6769514,622327900.0,1,-0.027208086512982847,0.89680004,84,250,0.36647794,250,0.99,1.2545984e+16,0.00013113021850585938,-0.027515553
-5558516609712127.0,5.6782513,67436280.0,2,-0.027208086512982847,0.8984,1646,500,0.3598687,500,0.99,706065700000000.0,3.16878080368042,-0.027479317
-19959509942271.0,5.674857,8758317.0,3,-0.027208086512982847,0.8964,1706,750,0.2925143,750,0.99,41452640000000.0,3.360621452331543,-0.027445637
-429973236088831.0,5.6699743,2751173.0,4,-0.027208086512982847,0.8972,1705,1000,0.15765293,1000,0.99,374340000000000.0,3.5457324981689453,-0.027485365
-3419761541119.0,5.668027,755670.8,5,-0.027208086512982847,0.8964,1679,1250,0.2762482,1250,0.99,59322200000000.0,3.7315595149993896,-0.027444689
-1258964516863.0,5.6683273,681176.0,6,-0.027208086512982847,0.8964,1783,1500,0.27690345,1500,0.99,4164964000000.0,3.9193344116210938,-0.02748729
-11976445001727.0,5.6686144,564677.6,7,-0.027208086512982847,0.8964,1758,1750,0.1652161,1750,0.99,61982050000.0,4.098722219467163,-0.027466672
-1058984361983.0,5.6687236,1224863.8,8,-0.027208086512982847,0.8964,1695,2000,0.35700268,2000,0.99,1547203800.0,4.279863357543945,-0.027429504
-5773698531327.0,5.667462,2682618.8,9,-0.027208086512982847,0.89799994,1717,2250,0.20418715,2250,0.99,2001937300000000.0,4.466944456100464,-0.027468147
-12255142871039.0,5.663292,1909988.0,10,-0.027208086512982847,0.8964,1769,2500,0.18573424,2500,0.99,884960600000000.0,4.651773929595947,-0.027451776
-37090142191615.0,5.6616063,6751809.5,11,-0.027208086512982847,0.8964,1776,2750,0.13759768,2750,0.99,25359192000000.0,4.831518650054932,-0.027458856
-8589519355903.0,5.661063,1959280.0,12,-0.027208086512982847,0.8964,1779,3000,0.08026119,3000,0.99,256840140000.0,5.00914740562439,-0.027447931
-22769574084607.0,5.661002,2504138.0,13,-0.027208086512982847,0.8964,1741,3250,0.106083296,3250,0.99,9955297000.0,5.185545444488525,-0.027455565
-5129641656319.0,5.660821,843735.4,14,-0.027208086512982847,0.8964,1704,3500,0.35045803,3500,0.99,2432530000000.0,5.365052700042725,-0.027450828
-3881246392319.0,5.659849,543159.9,15,-0.027208086512982847,0.8964,1756,3750,0.24968621,3750,0.99,13273779000000.0,5.547622442245483,-0.027457375
-175432073215.0,5.660715,552733.2,16,-0.027208086512982847,0.8964,1649,4000,0.23514435,4000,0.99,51076045000000.0,5.7261903285980225,-0.027439645
-9008495722495.0,5.665904,683587.3,17,-0.027208086512982847,0.8964,1670,4250,0.049767334,4250,0.99,25418717000000.0,5.913577556610107,-0.02746179
-67061485142015.0,5.6686506,2097147.2,18,-0.027208086512982847,0.8976,1630,4500,0.04462076,4500,0.99,33666290000000.0,6.0992207527160645,-0.027471771
