policy_loss,clipfrac,explained_variance,ep_len_mean,value_loss,n_updates,true_reward,approxkl,time_elapsed,ep_reward_mean,fps,serial_timesteps,policy_entropy,total_timesteps
-0.00077467534,0.021384,-2.031636953353882,11.57,2.6609633,1,0.16788052,0.0026496002,0.0007214546203613281,2.122686221599579,7546,250,5.674631,25000
-0.0012800444,0.018288001,-0.23797965049743652,10.22,1.4128516,2,0.16779962,0.0024588192,4.028707265853882,1.8750320073962212,51889,500,5.6702104,50000
-0.0027346176,0.038892,0.15706032514572144,11.57,0.8595052,3,0.16809203,0.0038812528,4.991271018981934,2.1223588018119335,51986,750,5.662172,75000
-0.0010152273,0.03098,0.004671692848205566,12.93,0.75247407,4,0.16823803,0.0030665759,5.967442750930786,2.371353975534439,52780,1000,5.6566186,100000
-0.0013676683,0.028223997,-0.045066237449645996,11.11,0.71825457,5,0.16827148,0.0029069986,6.9229936599731445,2.0381587666273115,51554,1250,5.6537876,125000
-0.0014461693,0.017656,-0.006842494010925293,12.69,0.6917061,6,0.1684584,0.002400731,7.900912284851074,2.326256351917982,52735,1500,5.6519294,150000
-0.0014142869,0.019863999,0.09926587343215942,11.68,0.63946927,7,0.16851714,0.0025396198,8.85135006904602,2.1417475581169128,51346,1750,5.648143,175000
-0.0012472671,0.015179999,0.18536269664764404,12.71,0.60241574,8,0.16858728,0.0021536937,9.83045506477356,2.330107393413782,52882,2000,5.643464,200000
-0.0019843078,0.029523998,0.25493335723876953,13.38,0.5752409,9,0.16867371,0.0033476618,10.776998519897461,2.452001896053553,50867,2250,5.6397066,225000
-0.0015574291,0.01902,0.3093045949935913,13.86,0.5572847,10,0.16877772,0.0021849151,11.759435176849365,2.5422849148511886,51235,2500,5.6343737,250000
-0.0017887171,0.035852,0.3615623712539673,14.02,0.53603446,11,0.16894093,0.003815291,12.726078510284424,2.57122873172164,51140,2750,5.6302476,275000
-0.0011814057,0.025876,0.3890407681465149,13.78,0.53037715,12,0.16897365,0.0030886063,13.680337905883789,2.528422304391861,49974,3000,5.6241775,300000
-0.0011130202,0.044695996,0.4259958267211914,12.85,0.5124941,13,0.16891852,0.004356025,14.655363082885742,2.3574144624173643,50925,3250,5.614871,325000
-0.002338643,0.047555998,0.44852954149246216,11.88,0.50210994,14,0.16899432,0.0043193107,15.617633581161499,2.1804588754475116,51182,3500,5.6052027,350000
-0.0021244928,0.038007997,0.47649258375167847,13.08,0.48529047,15,0.16912724,0.0038414237,16.58119821548462,2.3998738068342207,52470,3750,5.595908,375000
-0.002512182,0.03594,0.49598854780197144,13.83,0.4795906,16,0.16923359,0.003604684,17.54386019706726,2.5377522818744183,51553,4000,5.5846567,400000
-0.0015882176,0.022999998,0.5203616321086884,12.51,0.46908912,17,0.1692924,0.0029561154,18.504940032958984,2.2964187702536583,52776,4250,5.5704045,425000
-0.0016088731,0.03302,0.5511757135391235,12.71,0.45117298,18,0.16944693,0.0034363042,19.431132316589355,2.3333650985360146,52880,4500,5.5587077,450000
