n_updates,policy_loss,fps,serial_timesteps,ep_len_mean,policy_entropy,time_elapsed,ep_reward_mean,clipfrac,total_timesteps,true_reward,value_loss,approxkl,explained_variance
1,0.061290465,7196,250,0.0,5.674661,0.0006692409515380859,0.0,0.828564,25000,-0.015733879,49904.74,3116019700.0,-1441004287.0
2,0.06578997,46016,500,0.31,5.670735,5.357150316238403,0.057106636315584186,0.56154,50000,0.053181496,7624.1045,1416608.9,-1559171.5
3,0.0010006331,47151,750,0.26,5.668887,7.031306505203247,0.04787110224366188,0.56064,75000,0.033878192,475.99103,857868.5,-71012.6171875
4,0.015884992,45951,1000,0.0,5.6683702,8.80303168296814,0.0,0.89624804,100000,-0.015733888,1922.9332,193756420.0,-56523747.0
5,0.012347071,46755,1250,0.0,5.667739,10.8655424118042,0.0,0.89651597,125000,-0.015733872,2919.7703,66984330.0,-83657583.0
6,0.17740649,45295,1500,0.36,5.665665,12.90747618675232,0.06631422519683838,0.55468,150000,0.054646734,87.91367,134739790.0,-18946.46875
7,0.05560423,44929,1750,0.42,5.6646147,14.628438472747803,0.0773870126903057,0.545756,175000,0.05808451,18.335499,6292949.5,-399.219970703125
8,-0.017167564,45447,2000,0.41,5.66416,16.4156277179718,0.07549104526638985,0.538584,200000,0.058531724,71.38809,8692272.0,-7638.86328125
9,0.16013958,46212,2250,0.39,5.6638765,18.15171718597412,0.07189490497112275,0.54604805,225000,0.059243433,89.20135,112863336.0,-7330.2109375
10,0.044402547,42538,2500,0.38,5.663762,19.89139747619629,0.07006627261638641,0.540944,250000,0.059491415,87.81228,1757935.6,-5149.09326171875
