fps,time_elapsed,approxkl,clipfrac,explained_variance,value_loss,true_reward,n_updates,serial_timesteps,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,ep_len_mean
7333,0.0006959438323974609,2.365723,0.638584,-83.37693786621094,350.5485,0.06797589,1,250,0.13863999381661415,0.23284344,5.675536,25000,0.83
40810,4.419292449951172,0.06058821,0.370032,-169.71908569335938,159.21413,0.06868346,2,500,0.12553227499127387,0.047710843,5.6775293,50000,0.74
49872,5.925668239593506,0.06424745,0.37174398,-166.54586791992188,78.12113,0.068667516,3,750,0.12266704231500626,0.047309246,5.678884,75000,0.73
50396,7.303912401199341,0.12635717,0.429876,-160.61227416992188,42.45042,0.06856185,4,1000,0.1364365090429783,0.072090864,5.6790857,100000,0.81
50017,8.665655612945557,0.14927982,0.47674003,-215.36111450195312,19.64996,0.06876836,5,1250,0.12688098937273026,0.080175795,5.680291,125000,0.76
49120,10.028216123580933,0.03215794,0.272624,-232.4554901123047,10.622548,0.06881589,6,1500,0.13760298430919649,0.02680279,5.681929,150000,0.82
45042,11.587716341018677,0.015277457,0.175476,-202.23780822753906,4.696195,0.06829264,7,1750,0.11566519811749458,0.011588762,5.682331,175000,0.69
48496,13.031705379486084,0.046760283,0.30341598,-140.031494140625,1.6958821,0.06837205,8,2000,0.12110634744167328,0.026342675,5.68126,200000,0.72
49135,14.41490125656128,0.05176854,0.333808,-65.80802917480469,0.7063179,0.06760889,9,2250,0.15809943839907648,0.024685116,5.6818223,225000,0.94
49248,15.803842067718506,0.060958512,0.38772804,-38.437129974365234,0.3179562,0.06765209,10,2500,0.12845927253365516,0.030663386,5.681881,250000,0.76
49343,17.194416284561157,0.045340747,0.25952402,-23.66251564025879,0.25537807,0.06806596,11,2750,0.11037358537316322,0.01600949,5.681353,275000,0.65
49391,18.55841898918152,0.013225372,0.13998,-16.86542510986328,0.29954952,0.06800715,12,3000,0.13762195885181427,0.0050978325,5.6782026,300000,0.82
49409,19.921191215515137,0.032863326,0.23446,-12.229506492614746,0.18592122,0.06913876,13,3250,0.12061761185526848,0.022014286,5.6743913,325000,0.71
48492,21.279947519302368,0.19423029,0.47084004,-9.085768699645996,0.15819092,0.06852054,14,3500,0.12655164197087287,0.06384291,5.672955,350000,0.75
50160,22.63857626914978,0.23233095,0.534456,-6.646890163421631,0.09252406,0.06832012,15,3750,0.12133678331971169,0.07015216,5.676267,375000,0.72
48506,23.985291957855225,0.22054526,0.56929195,-5.346650123596191,0.056652796,0.06962663,16,4000,0.1414804184436798,0.083049804,5.68082,400000,0.84
49764,25.334908962249756,0.059078176,0.3856,-5.741124153137207,0.073971115,0.068535425,17,4250,0.11666075423359872,0.030565152,5.6848245,425000,0.69
50108,26.69898533821106,0.18132596,0.526312,-4.663509845733643,0.051326733,0.06978096,18,4500,0.13560380414128304,0.0637405,5.690034,450000,0.81
49632,28.034324407577515,0.41114125,0.611152,-4.054661273956299,0.060432244,0.06993141,19,4750,0.13133242785930632,0.10623531,5.6963563,475000,0.78
49746,29.370548725128174,0.02061808,0.20603201,-3.955641746520996,0.094364285,0.069825806,20,5000,0.12306819319725036,0.009351133,5.7011747,500000,0.73
48245,30.74964427947998,0.015941748,0.17032398,-3.6582870483398438,0.16457458,0.06992479,21,5250,0.1457813249528408,0.0041527366,5.7030582,525000,0.87
