total_timesteps,serial_timesteps,n_updates,value_loss,ep_reward_mean,ep_len_mean,clipfrac,explained_variance,approxkl,policy_entropy,time_elapsed,fps,true_reward,policy_loss
25000,250,1,2.963894,5.816246847808361,30.25,0.069731995,-0.17103540897369385,0.0056166193,5.6760364,0.0006923675537109375,6954,0.18816814,-0.0056413403
50000,500,2,2.9753594,6.370732649117708,33.18,0.011148,-0.320428729057312,0.0013350504,5.677442,4.1375954151153564,50872,0.18839297,-0.0015964623
75000,750,3,3.0075057,6.209515623003244,32.38,0.03312,-0.4435054063796997,0.0034333603,5.6802263,5.047140121459961,52480,0.18839742,-0.0015128392
100000,1000,4,2.8974307,6.552944654077291,34.18,0.050560005,-0.4366248846054077,0.0044237985,5.6827364,5.937297582626343,51457,0.18837714,0.0010019717
125000,1250,5,2.7575126,6.5900207015872,34.4,0.081816,-0.396045446395874,0.0064084297,5.6851854,6.83414363861084,51797,0.18835954,0.002645045
150000,1500,6,2.593569,6.863242663294077,35.83,0.10821201,-0.28790283203125,0.008282516,5.6886644,7.714545965194702,46812,0.18835853,0.004885168
175000,1750,7,2.4228132,7.129531655162573,37.23,0.10091599,-0.20519721508026123,0.0076664416,5.6909614,8.697495222091675,48267,0.18837556,0.00436836
200000,2000,8,2.242502,6.768621614724398,35.34,0.087064,-0.08427321910858154,0.0067321076,5.693831,9.624752759933472,54101,0.18835351,0.00218319
225000,2250,9,2.0757017,7.511979027539492,39.25,0.055803996,0.0452304482460022,0.0048439554,5.69886,10.488193273544312,52456,0.18838084,0.001412408
250000,2500,10,1.876639,7.2661624912917615,37.96,0.045975998,0.18173158168792725,0.0041010687,5.7030315,11.37747073173523,52663,0.18836091,0.0004519801
275000,2750,11,1.6658316,7.219985870867967,37.72,0.023152,0.328183114528656,0.0028474673,5.709092,12.250385046005249,53415,0.18835375,0.00015470688
300000,3000,12,1.4519801,7.669861514419317,40.07,0.018056002,0.45559728145599365,0.0024172482,5.717183,13.12623381614685,53432,0.1883895,-5.2851054e-05
325000,3250,13,1.2496946,7.225688308924436,37.74,0.021732,0.566369503736496,0.0026851024,5.7233067,13.992146492004395,52281,0.18834852,0.0001007153
350000,3500,14,1.0452989,7.284940953999758,38.06,0.027803998,0.6664526164531708,0.0033364396,5.730475,14.873279571533203,52638,0.18834414,-0.00016719142
375000,3750,15,0.8828928,7.033310261368752,36.74,0.022556001,0.738125205039978,0.0028887044,5.7354794,15.754686832427979,53810,0.18830934,-0.0005992196
400000,4000,16,0.7737998,7.614944207966328,39.81,0.00828,0.7829451113939285,0.0019731312,5.7401304,16.63330316543579,54034,0.18833153,1.9717147e-05
425000,4250,17,0.6987752,7.180954508781433,37.52,0.023256,0.8150156885385513,0.0028208042,5.739625,17.50069761276245,53383,0.18829271,-0.00074753875
450000,4500,18,0.64628375,7.309116604328156,38.2,0.030608002,0.8365236669778824,0.0032245056,5.7382784,18.37743639945984,52739,0.18828988,-0.0004807991
475000,4750,19,0.6280676,7.341571523696184,38.37,0.007304,0.8477966636419296,0.0018910732,5.7343264,19.256572484970093,52396,0.18827377,-0.0006474024
500000,5000,20,0.63055676,7.908971074521542,41.35,0.02482,0.8510012477636337,0.0030876645,5.7284555,20.13706922531128,52982,0.18829937,-0.0012868547
525000,5250,21,0.5685197,7.595550239682198,39.72,0.010048,0.8707426190376282,0.0021862346,5.7210126,21.022374868392944,52423,0.18825485,-4.1772662e-05
550000,5500,22,0.58896697,7.4382390832901,38.89,0.029596,0.8685838580131531,0.003446382,5.7140875,21.897207498550415,51985,0.18823212,-0.0012298173
575000,5750,23,0.56541324,8.104834462553264,42.41,0.024487998,0.8749458640813828,0.0030740276,5.708865,22.77727174758911,52458,0.18825172,-0.0013573272
600000,6000,24,0.5931142,8.013631978780031,41.92,0.044336,0.8691384941339493,0.004127499,5.7040105,23.64369249343872,52902,0.1882314,-0.0017512819
625000,6250,25,0.5710011,7.504960269033909,39.25,0.026555996,0.872695729136467,0.0030058664,5.697044,24.516576766967773,52326,0.18821004,-0.0012140193
650000,6500,26,0.56779206,7.673754765987396,40.14,0.038151998,0.8747274279594421,0.0036029238,5.694312,25.41051959991455,47109,0.18820529,-0.0014418734
675000,6750,27,0.57485646,7.70725851714611,40.32,0.024276,0.8749305605888367,0.0028714908,5.6908383,26.34466004371643,51249,0.18818982,-0.0018557087
700000,7000,28,0.57895577,7.44202556848526,38.92,0.031960003,0.8772219717502594,0.0032763525,5.6870136,27.241662740707397,52666,0.18817559,-0.0011502665
725000,7250,29,0.58230937,7.469225805699825,39.07,0.045203995,0.8775677606463432,0.004197403,5.6796336,28.111878156661987,53203,0.1881577,-0.0012588415
750000,7500,30,0.57146615,7.781852927356958,40.72,0.02764,0.8789462372660637,0.0033684764,5.6657906,28.98094630241394,54805,0.18815576,-0.0014757653
775000,7750,31,0.57843614,7.305359610319138,38.22,0.026800001,0.8771036192774773,0.0030682604,5.6517444,29.83839440345764,53833,0.18810827,-0.0014053329
