total_timesteps,ep_len_mean,clipfrac,value_loss,approxkl,serial_timesteps,policy_entropy,explained_variance,policy_loss,fps,time_elapsed,true_reward,n_updates,ep_reward_mean
25000,18.68,0.069755994,2.4926267,0.0058370046,250,5.6771517,0.09199166297912598,-0.0054155593,7321,0.001252889633178711,0.18546686,1,3.5804780039191244
50000,21.05,0.080612,2.365019,0.0068300427,500,5.6784263,-0.5334622859954834,-0.0005150867,44887,4.002161026000977,0.18573864,2,4.028728792518377
75000,23.41,0.042880002,2.28093,0.0040272027,750,5.681454,-0.7566648721694946,-0.0014684045,51275,4.986128091812134,0.18584865,3,4.472498591393232
100000,25.79,0.055268,2.3589518,0.0047919345,1000,5.685471,-0.8672592639923096,-0.0008718767,43946,5.881646156311035,0.18592724,4,4.9317571516335015
125000,26.52,0.03394,2.248138,0.0033658347,1250,5.6881075,-0.7367639541625977,-0.0010573756,52678,6.884769916534424,0.18586442,5,5.06643359914422
150000,28.04,0.029176,2.1510227,0.0029985555,1500,5.6906004,-0.5546940565109253,-0.0015028676,52407,7.766611814498901,0.18580888,6,5.350398894548416
175000,26.12,0.005832,2.0010257,0.0012985738,1750,5.693713,-0.3108404874801636,-0.0007704072,51205,8.66312050819397,0.18567833,7,4.984319399148226
200000,29.73,0.025132,1.8694217,0.0029122925,2000,5.695878,-0.1281280517578125,-0.0017923672,50059,9.551414728164673,0.18563426,8,5.667735435962677
225000,27.82,0.023703998,1.7154878,0.0028075178,2250,5.6966457,0.057477474212646484,-0.0012829086,51660,10.465256452560425,0.1855383,9,5.305366181433201
250000,26.39,0.049276,1.5371653,0.0043522986,2500,5.6978564,0.2283725142478943,-0.00029689452,52346,11.351865768432617,0.18548784,10,5.0306320957839485
275000,26.45,0.056188,1.4549215,0.004781883,2750,5.702283,0.3562527894973755,0.0015815276,50641,12.247694730758667,0.18538375,11,5.04093143299222
300000,29.66,0.064752,1.324549,0.00549014,3000,5.706871,0.42636293172836304,0.00085890404,50777,13.142672300338745,0.18539008,12,5.653596247732639
325000,30.71,0.042816006,1.1940329,0.0040442,3250,5.7101917,0.5331079065799713,-0.00027027278,50698,14.040982246398926,0.18533172,13,5.851255733370781
350000,27.91,0.028640002,1.0974925,0.0029372764,3500,5.712838,0.5814761817455292,-0.000569381,51537,14.947459697723389,0.18517457,14,5.3075641250610355
375000,30.2,0.019828001,0.99824727,0.0024766957,3750,5.7160354,0.6487079560756683,-0.0016793482,52128,15.84081244468689,0.185205,15,5.748192745298147
400000,29.23,0.026216,0.97516716,0.0028794138,4000,5.717375,0.6575070917606354,-0.001964236,45627,16.719884157180786,0.18517198,16,5.565107970088721
425000,31.54,0.029008001,0.91175956,0.0031966246,4250,5.718419,0.7024552822113037,-0.0022783787,51042,17.674371480941772,0.1851917,17,5.998744153827428
450000,33.02,0.042652,0.8278859,0.0040555065,4500,5.7187324,0.731886237859726,-0.0019567027,51056,18.57644248008728,0.18521951,18,6.279613258093596
475000,33.4,0.035532,0.76936734,0.003557772,4750,5.719087,0.7577969580888748,-0.0018423507,52060,19.463196992874146,0.1852476,19,6.351886620819569
500000,34.59,0.077004,0.76850253,0.006139553,5000,5.719743,0.7679985612630844,-0.0010324366,52363,20.345656633377075,0.18518639,20,6.576341822743416
525000,33.97,0.079040006,0.7364281,0.0062850798,5250,5.7191052,0.7823016345500946,-0.0018654137,50651,21.21204686164856,0.18526408,21,6.460344286113977
550000,31.96,0.064872,0.79383105,0.0053809835,5500,5.7163916,0.7810566425323486,-0.0032388424,48680,22.110751390457153,0.18522735,22,6.07986089348793
575000,29.43,0.031676,0.7559823,0.0033790406,5750,5.7110224,0.8033375442028046,-0.0018266065,51974,23.037020921707153,0.18520576,23,5.60795857578516
600000,32.66,0.070532,0.75012,0.0056021186,6000,5.7064795,0.8150897473096848,-0.0024778699,51879,23.908658027648926,0.18522662,24,6.214513405263424
625000,32.57,0.042783998,0.81145227,0.0040823445,6250,5.704808,0.8131645023822784,-0.0017966926,51838,24.788590669631958,0.18518652,25,6.192122026085854
650000,31.37,0.050203998,1.342905,0.004757979,6500,5.7027287,0.717607855796814,-0.0018526561,50868,25.664483785629272,0.18520734,26,5.963866133987904
675000,38.66,0.041008,1.6361415,0.0037515648,6750,5.6995635,0.7468208372592926,-0.0026433957,50480,26.554364442825317,0.18503739,27,7.30847077473998
700000,34.16,0.07303201,1.9069841,0.0064006275,7000,5.6958013,0.700799286365509,0.00076278794,51662,27.46317458152771,0.18491334,28,6.476041395515203
725000,36.1,0.074088,1.739217,0.0064219846,7250,5.6923127,0.7518147379159927,0.0015568379,51767,28.342880964279175,0.1847583,29,6.8268321217596535
750000,35.72,0.028896,1.7385819,0.0031411804,7500,5.6911507,0.7494900524616241,-0.0017752871,51402,29.227463245391846,0.1845873,30,6.758449627161026
775000,44.42,0.055676002,2.1269681,0.0052001057,7750,5.690891,0.7152581512928009,0.00011139701,52273,30.113690853118896,0.1845649,31,8.381650074869395
800000,41.91,0.209644,3.6464581,0.02785403,8000,5.6900845,0.6129470467567444,0.022155032,52041,30.985469102859497,0.18432058,32,7.9065711539983745
825000,41.86,0.052411996,3.18085,0.004664918,8250,5.6897163,0.6312790513038635,0.0017356712,51607,31.87577199935913,0.18436195,33,7.905178827643394
850000,42.88,0.025388002,3.3391018,0.0027330653,8500,5.689758,0.6443065106868744,-0.0015569304,46474,32.82038331031799,0.18407522,34,8.082116099745035
875000,42.58,0.017484,3.4557998,0.0021369066,8750,5.6903944,0.654286801815033,-0.00043849825,51182,33.79136395454407,0.18393287,35,8.003873717933892
900000,46.9,0.026348,4.0251565,0.0028230515,9000,5.691076,0.6177387535572052,-0.0007928188,52651,34.67501211166382,0.18396352,36,8.804951296299697
925000,47.14,0.016772,3.2719638,0.002045412,9250,5.6911464,0.6960653066635132,-0.0009293705,51738,35.56033897399902,0.18386242,37,8.853418592959642
950000,47.04,0.048868,2.7624393,0.0042295987,9500,5.691352,0.7441875338554382,-0.0006776888,50241,36.44881987571716,0.18368176,38,8.834333373308182
975000,46.4,0.061568003,3.2288957,0.0055487207,9750,5.6916423,0.712689608335495,0.003212873,52393,37.353981256484985,0.18357176,39,8.708936707228423
1000000,45.81,0.138588,2.646564,0.013903402,10000,5.691668,0.7898553758859634,0.010211919,50258,38.227957248687744,0.18356785,40,8.582436340898276
1025000,44.6,0.054724,2.7671964,0.0049754228,10250,5.691619,0.7735330909490585,0.0023812898,52534,39.13818907737732,0.18358405,41,8.381267111897468
1050000,43.87,0.05122,2.6352425,0.0048096464,10500,5.6915627,0.7697912305593491,0.002641044,49937,40.00932550430298,0.18344496,42,8.25152640134096
1075000,49.32,0.017795999,2.9415054,0.0020019545,10750,5.690975,0.7933950573205948,-0.00011647611,47917,40.92017579078674,0.18323869,43,9.209411951750518
1100000,44.31,0.023632001,3.0121872,0.00276715,11000,5.6904793,0.7766416668891907,-0.00016135976,49172,41.84405970573425,0.18313588,44,8.303397983908653
1125000,48.26,0.040756,2.8500834,0.003950199,11250,5.6898813,0.8011816591024399,-0.00012735641,50736,42.7528395652771,0.18306297,45,9.031831591278314
1150000,49.39,0.059472002,2.6240778,0.0051330687,11500,5.688481,0.8481944352388382,0.00047223555,48288,43.669068574905396,0.18282984,46,9.220243289768696
1175000,42.01,0.015060002,3.4815357,0.0021057962,11750,5.687645,0.8232876509428024,-0.0010473933,50877,44.58886957168579,0.18261324,47,7.874447416365147
1200000,48.74,0.021168001,2.6907048,0.0021623224,12000,5.686986,0.8268450945615768,-0.0006504503,51152,45.479432344436646,0.18265215,48,9.0961394739151
1225000,46.57,0.018588,2.4531074,0.0021190126,12250,5.6865277,0.848062202334404,-0.0015003189,51083,46.37601590156555,0.18258393,49,8.693538969010115
