ep_len_mean,policy_loss,total_timesteps,approxkl,clipfrac,fps,serial_timesteps,explained_variance,ep_reward_mean,value_loss,policy_entropy,time_elapsed,true_reward,n_updates
0.99,-0.0052855746,250,0.0346607,0.3492,82,250,-150.95809936523438,-1.830174720287323,0.27795383,5.67882,0.00016069412231445312,-1.8326787,1
0.99,-0.0027015544,500,0.029757807,0.35,2039,500,-105.26608276367188,-1.8301770639419557,0.043102276,5.6849685,3.254481554031372,-1.800726,2
0.99,-0.021609236,750,0.019403439,0.22440001,2161,750,-95.03384399414062,-1.830157129764557,0.041302457,5.6875925,3.4158904552459717,-1.8087661,3
0.99,-0.021967154,1000,0.012947775,0.164,2244,1000,-8.301719665527344,-1.8301693665981293,0.01758144,5.685503,3.570906639099121,-1.7927983,4
1.04,-0.019215016,1250,0.04140272,0.3832,2228,1250,-30.655017852783203,-1.8227571901679038,0.015864015,5.685874,3.721449613571167,-1.7767704,5
1.04,-0.026672844,1500,0.030827278,0.3296,2284,1500,-19.93758201599121,-1.822773671001196,0.017476454,5.6852403,3.8718743324279785,-1.7448584,6
1.0,-0.016040336,1750,0.01382455,0.17920001,2192,1750,-21.88389778137207,-1.828684464842081,0.0075052544,5.6875143,4.019515037536621,-1.8007356,7
1.05,-0.023412313,2000,0.033334047,0.36079997,2149,2000,-9.373217582702637,-1.8212796440720558,0.009065487,5.689661,4.172700643539429,-1.7368455,8
1.12,-0.028557261,2250,0.039044663,0.3696,2289,2250,-6.201549053192139,-1.8110179007053375,0.0113063855,5.6929426,4.327591180801392,-1.6730043,9
1.15,-0.03186754,2500,0.06355761,0.48920003,2207,2500,-2.3986928462982178,-1.8066422598063945,0.009118082,5.697008,4.4751527309417725,-1.5771871,10
1.23,-0.035749804,2750,0.051959444,0.42080003,2217,2750,-1.910346508026123,-1.7948985907435417,0.013263127,5.7001987,4.624449968338013,-1.4574502,11
1.41,-0.036916643,3000,0.04412374,0.42399997,2237,3000,-1.5844640731811523,-1.768436812609434,0.015394819,5.7039,4.771204233169556,-1.2658821,12
1.56,-0.045766402,3250,0.043895543,0.3908,2243,3250,-0.8208174705505371,-1.7465479479730128,0.016661521,5.708288,4.915291786193848,-1.1143687,13
1.93,-0.04269327,3500,0.054531652,0.4112,2302,3500,-0.23114943504333496,-1.692696037441492,0.015337154,5.71034,5.0581488609313965,-0.8990419,14
2.24,-0.018544465,3750,0.03555988,0.31080002,2227,3750,0.2710186839103699,-1.6481110906600953,0.023603538,5.71042,5.196773052215576,-0.7397977,15
2.39,-0.01744659,4000,0.043845557,0.4104,2310,4000,0.6772757172584534,-1.626116641908884,0.009450831,5.7084837,5.338426351547241,-0.68392676,16
2.36,-0.022639649,4250,0.04352369,0.3696,2220,4250,0.7934208065271378,-1.630592788308859,0.0047136964,5.706431,5.475465297698975,-0.6839928,17
2.43,-0.021754097,4500,0.023567023,0.2704,2293,4500,0.42301642894744873,-1.6205057150125504,0.016229227,5.7050576,5.616490364074707,-0.6760341,18
2.49,-0.01556393,4750,0.030257547,0.3272,2300,4750,0.6532297432422638,-1.6116369599103928,0.010035789,5.704551,5.753858804702759,-0.6520493,19
