approxkl,true_reward,time_elapsed,ep_len_mean,total_timesteps,fps,ep_reward_mean,value_loss,clipfrac,policy_entropy,n_updates,policy_loss,explained_variance,serial_timesteps
0.014121863,-1.8115033,0.001215219497680664,0.01,25000,7283,0.0015126055479049683,0.4163786,0.197084,5.677369,1,0.0066862805,-294.6537170410156,250
0.005252217,-1.8032784,5.082055330276489,0.05,50000,47122,0.007533288598060608,0.034106087,0.060216,5.680197,2,-0.002463495,-66.12794494628906,500
0.008265382,-1.796976,7.119038820266724,0.01,75000,48336,0.0015198808908462524,0.02648658,0.116224006,5.6842976,3,0.0009912038,-42.283870697021484,750
0.0068659657,-1.7781236,9.146482944488525,0.03,100000,47003,0.004642614275217056,0.021421721,0.093536004,5.686198,4,-0.0027253255,-29.009702682495117,1000
0.0060010264,-1.7662245,11.19043254852295,0.02,125000,47317,0.0030529023706912994,0.016298195,0.078888,5.687983,5,-0.0050300877,-14.286974906921387,1250
0.007118824,-1.7471373,13.192044973373413,0.11,150000,43150,0.016960850954055785,0.013812097,0.095252,5.6871805,6,-0.0056365365,-12.610466003417969,1500
0.01220217,-1.7159133,15.306960344314575,0.08,175000,39126,0.012301627397537231,0.013400833,0.159592,5.685699,7,-0.0040763025,-7.613652229309082,1750
0.013565531,-1.6497815,17.40263843536377,0.15,200000,47823,0.022736480832099913,0.01467898,0.17838798,5.6884613,8,-0.011619864,-4.96334981918335,2000
0.017598871,-1.5581038,19.37085509300232,0.17,225000,47415,0.025989482551813124,0.016350027,0.198028,5.6932583,9,-0.015383164,-3.7694077491760254,2250
0.025341809,-1.4080684,21.26788830757141,0.35,250000,48473,0.05319740071892738,0.018800456,0.26596,5.697498,10,-0.02361663,-2.3577160835266113,2500
0.029090147,-1.2405411,23.10801124572754,0.63,275000,48154,0.09594428226351738,0.019797664,0.29746,5.6994433,11,-0.02672567,-1.5813019275665283,2750
0.031251915,-1.0508628,24.823363304138184,0.65,300000,45011,0.09860529109835625,0.018404514,0.292308,5.699521,12,-0.025816878,-0.9771673679351807,3000
0.030041939,-0.92641187,26.441040754318237,0.82,325000,48580,0.1251829107105732,0.01563417,0.292456,5.699219,13,-0.0137279015,-0.3470393419265747,3250
0.02772815,-0.8541411,27.96541476249695,0.93,350000,43974,0.1415580102801323,0.01240509,0.296956,5.696685,14,-0.010351831,0.0531235933303833,3500
0.01680021,-0.7989883,29.498088598251343,0.78,375000,48212,0.11873314529657364,0.010804499,0.21176401,5.692279,15,-0.009101252,0.2886391878128052,3750
0.012029987,-0.7754472,30.96207571029663,0.88,400000,48296,0.1341576200723648,0.011754282,0.16105601,5.684797,16,-0.004733794,0.2193787693977356,4000
0.006990147,-0.7614856,32.399430990219116,1.14,425000,48610,0.173293566852808,0.01913384,0.093436,5.678503,17,0.0006474479,-0.1266939640045166,4250
0.014367829,-0.7495924,33.805258989334106,1.14,450000,45217,0.17307427614927293,0.022604408,0.186528,5.6738105,18,0.00228857,0.3759448528289795,4500
