serial_timesteps,value_loss,total_timesteps,policy_loss,fps,ep_reward_mean,time_elapsed,approxkl,true_reward,explained_variance,policy_entropy,clipfrac,n_updates,ep_len_mean
250,87.24172,25000,0.18449716,7456,2.448075372055173,0.0006434917449951172,7.977769,0.07505084,-8.369007110595703,5.6767645,0.491252,1,17.14
500,64.25456,50000,0.1680826,62580,2.5298552054911854,3.932217836380005,8.941388,0.07476375,-5.915722846984863,5.681346,0.44497997,2,17.35
750,43.47518,75000,0.083069675,64321,2.39610540792346,4.785937309265137,0.14017451,0.07542359,-6.6558332443237305,5.686787,0.250628,3,16.49
1000,26.77718,100000,0.091746375,61939,2.8864706249535086,5.624253511428833,0.17895962,0.07669601,-4.113714694976807,5.691698,0.261328,4,20.04
1250,21.155363,125000,0.08831261,63079,2.9943900313973426,6.4548890590667725,0.15128866,0.07672175,-3.720521926879883,5.697488,0.27177998,5,21.07
1500,18.085276,150000,0.098309584,62595,2.730210834592581,7.281468152999878,0.2331014,0.07664954,-3.652101516723633,5.7034655,0.2915,6,19.11
1750,16.567501,175000,0.079691395,64661,2.2919287513941526,8.12715220451355,0.15953389,0.07607644,-2.828932046890259,5.7096815,0.2401,7,15.88
2000,13.210363,200000,0.07432063,63307,2.580582915842533,8.956743240356445,0.10630192,0.07666729,-4.662598133087158,5.7140894,0.228832,8,17.96
2250,9.663374,225000,0.092121385,63263,2.521497619971633,9.79496455192566,0.23287006,0.07628253,-4.12516975402832,5.7188945,0.268924,9,17.4
2500,6.3124084,250000,0.052532446,62413,2.653424949347973,10.630078792572021,0.05829991,0.07679124,-2.838379383087158,5.724578,0.182164,10,18.5
2750,4.8973217,275000,0.053056307,62725,2.7742903657257556,11.45423150062561,0.08889833,0.0767074,-2.1848089694976807,5.729472,0.187432,11,19.27
3000,3.5533442,300000,0.056817185,63404,2.889504975900054,12.284626483917236,0.07707144,0.07711846,-2.1085190773010254,5.73404,0.18845999,12,20.23
3250,2.5777526,325000,0.030154457,54450,2.3452327018231154,13.151075601577759,0.031171817,0.07623167,-1.6199345588684082,5.737577,0.123344004,13,16.28
3500,1.7843602,350000,0.0356619,62815,2.8492564649134873,14.043589353561401,0.04428624,0.077231966,-0.9294624328613281,5.738984,0.15431198,14,19.9
3750,1.2145615,375000,0.031732686,63271,2.747997269332409,14.902330160140991,0.055167098,0.07767671,-0.34635818004608154,5.7400975,0.18274,15,19.22
4000,0.998531,400000,0.012021632,63038,2.778822582438588,15.720993518829346,0.021864537,0.077285275,-0.2673006057739258,5.745209,0.11205201,16,19.29
4250,0.87023944,425000,0.0124367075,63102,3.206834698468447,16.540908098220825,0.02187692,0.077649534,-0.0286482572555542,5.7526407,0.11164,17,22.15
4500,0.84387904,450000,0.023128655,63593,2.797077052518725,17.382116079330444,0.053852707,0.07797846,0.07708698511123657,5.758813,0.18612,18,19.39
4750,0.72088224,475000,0.02546075,63508,2.639216482937336,18.20541548728943,0.050501876,0.078138165,0.2008954882621765,5.765664,0.17598,19,18.2
5000,0.72386277,500000,0.015254537,62803,2.928791281953454,19.0327091217041,0.03137952,0.078398846,0.28193241357803345,5.7735534,0.14008,20,20.49
