total_timesteps,time_elapsed,fps,value_loss,ep_len_mean,policy_loss,policy_entropy,approxkl,serial_timesteps,explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac
25000,0.0002193450927734375,7260,1.0394578,59.66,0.025425723,4.0758576,0.05840652,250,0.8445983380079269,0.14045577,1,9.375266063660384,0.38447195
50000,3.97108793258667,63497,1.0990794,66.07,0.00047706702,4.0766973,0.008605947,500,0.8120692074298859,0.13836832,2,10.358217162042855,0.11235601
75000,4.760601758956909,61460,1.0849898,62.77,0.007092102,4.074288,0.016519867,750,0.8157482445240021,0.13912182,3,9.862571717873216,0.191608
100000,5.570114612579346,62614,1.0503322,65.82,-0.0008714553,4.069103,0.0066244206,1000,0.802213728427887,0.13878407,4,10.271889551207423,0.084648
125000,6.362285852432251,62924,1.0125691,59.39,-0.0031457867,4.0602784,0.0052349567,1250,0.810484766960144,0.1385996,5,9.308331280648709,0.059979998
150000,7.162102460861206,62649,0.95997554,60.72,-0.0022664727,4.053431,0.006629029,1500,0.8252082467079163,0.13733098,6,9.460967925935984,0.084447995
175000,7.957458972930908,60200,0.92582977,60.59,0.0036373108,4.0443997,0.013835478,1750,0.835343137383461,0.13836178,7,9.467227507382631,0.168648
200000,8.766477584838867,61074,0.9486473,66.6,0.0065537123,4.0385046,0.017426062,2000,0.8286145180463791,0.14001353,8,10.329483150541783,0.19272
225000,9.550600528717041,61675,0.94028646,62.68,-0.0021607638,4.033517,0.0036051844,2250,0.829413965344429,0.13887627,9,9.714201310575008,0.035288
250000,10.334901332855225,63185,0.93418694,64.2,-0.0024440505,4.0274196,0.008140429,2500,0.8378839045763016,0.13933049,10,10.13627103112638,0.101344004
275000,11.12131643295288,62957,0.98456067,68.56,-0.0019136816,4.019853,0.006673523,2750,0.8308680951595306,0.13988975,11,10.64017153173685,0.08539601
300000,11.898161888122559,61374,0.959317,70.0,-0.0027702027,4.01345,0.006091158,3000,0.836905226111412,0.13885409,12,10.827152101323009,0.07472
325000,12.674250841140747,61250,0.98413706,63.23,-0.0029179326,4.008392,0.0052527725,3250,0.8275352269411087,0.13905519,13,9.784474707469345,0.062064
350000,13.476937294006348,62877,0.9773782,72.18,-0.0026891446,4.006546,0.004319273,3500,0.832423985004425,0.13941804,14,11.246058339551091,0.047592003
375000,14.253347158432007,60236,0.9334737,69.1,-0.004077129,4.000714,0.006199863,3750,0.8434155434370041,0.1404338,15,10.828276890665293,0.074848
400000,15.052720546722412,60983,1.0099354,79.2,-0.0032021622,3.9896722,0.006024943,4000,0.8270221203565598,0.14113772,16,12.431355012357235,0.06829201
425000,15.851030588150024,61392,1.0025885,75.54,-0.003063672,3.979073,0.0042856755,4250,0.8234604746103287,0.14068168,17,11.87253551542759,0.045695998
450000,16.64258074760437,60434,0.99095285,66.23,-0.0029103705,3.9695745,0.0065850327,4500,0.8320550471544266,0.14054492,18,10.371136061623693,0.078964
475000,17.43446660041809,60913,1.0317285,73.5,-0.0029416662,3.960465,0.006947439,4750,0.8208927810192108,0.14165752,19,11.525484153777361,0.08516
500000,18.22868847846985,61692,1.0137416,69.33,-0.00066459004,3.9518147,0.009674477,5000,0.8283661901950836,0.14015324,20,10.851696865707636,0.12422
525000,19.026527643203735,63731,1.0164974,78.94,-0.003000772,3.9437115,0.0048561925,5250,0.8285534381866455,0.14172928,21,12.429586857184768,0.054564
550000,19.8122775554657,63504,0.9843442,73.33,-0.0033051942,3.936261,0.0065490925,5500,0.8316676467657089,0.14090809,22,11.293423336371779,0.079136
575000,20.5879647731781,61604,1.0387312,82.02,-0.001818493,3.9304242,0.0051596076,5750,0.8181810528039932,0.14086136,23,12.750981249958278,0.061956
600000,21.384063005447388,61325,0.99595755,93.53,-0.0026702054,3.925551,0.005835137,6000,0.8272001445293427,0.14207192,24,14.45262368440628,0.070216
