fps,ep_len_mean,total_timesteps,policy_entropy,true_reward,serial_timesteps,approxkl,clipfrac,explained_variance,value_loss,policy_loss,time_elapsed,n_updates,ep_reward_mean
7310,250.0,25000,2.007036,0.1817691,250,0.11657705,0.42351198,0.7651441395282745,0.04712179,0.041647747,0.0002257823944091797,1,45.44227430447936
62672,249.0,50000,2.007192,0.18073025,500,0.011903707,0.154416,0.5113750994205475,0.097057454,0.00075886975,3.9423270225524902,2,45.04328841432929
63028,246.75,75000,2.0065289,0.18076211,750,0.012469286,0.157464,0.5127032995223999,0.14127396,-0.0010237382,4.742442607879639,3,44.69987242117524
60541,245.81,100000,2.0049171,0.18031709,1000,0.0077044754,0.10138799,0.7475120723247528,0.090398476,-0.001337169,5.544708013534546,4,44.43154529362917
62714,248.75,125000,2.002826,0.18040805,1250,0.008939634,0.112324,0.8952834084630013,0.04327907,-0.001518235,6.340473651885986,5,44.94637560859323
62841,246.81,150000,1.997958,0.18043889,1500,0.006346494,0.07892,0.8493970036506653,0.07748039,-0.002633488,7.132606029510498,6,44.6603049890697
62767,250.0,175000,1.9919876,0.18068664,1750,0.004766974,0.052948005,0.7357781827449799,0.020231461,-0.002725761,7.9249560832977295,7,45.17166198298335
64137,245.56,200000,1.9842705,0.18043189,2000,0.009699969,0.124868,0.5319916903972626,0.14338717,-0.0011972357,8.707944393157959,8,44.37279463395476
59833,250.0,225000,1.9757096,0.180707,2250,0.0075891404,0.09764401,0.7575294822454453,0.019757453,-0.0011984559,9.4940767288208,9,45.176748578995465
64455,250.0,250000,1.9675932,0.18087594,2500,0.005670353,0.067996,0.7998492568731308,0.025488835,-0.003981872,10.310560464859009,10,45.21898581624031
62974,247.92,275000,1.964196,0.18031502,2750,0.005775043,0.06761201,0.6576784551143646,0.07040823,-0.0021766345,11.107329607009888,11,44.74510851442814
62148,250.0,300000,1.9597889,0.18070443,3000,0.0059091626,0.07286,0.7753586918115616,0.017943613,-0.0034354914,11.888269901275635,12,45.17610881641507
62878,250.0,325000,1.9517565,0.18078147,3250,0.005626871,0.065872,0.7661536782979965,0.019460104,-0.00257325,12.670219659805298,13,45.19536807522178
63058,246.6,350000,1.9399023,0.18045841,3500,0.0072477898,0.094128,0.5663647949695587,0.12686937,-0.0020511586,13.45664358139038,14,44.58274918869138
61538,250.0,375000,1.9347563,0.18092817,3750,0.007019664,0.08821999,0.7629527598619461,0.017992334,-0.0014348938,14.244767189025879,15,45.23203973159194
63206,250.0,400000,1.9330174,0.18058164,4000,0.008179478,0.107352,0.7684635370969772,0.019200463,-0.00075128314,15.052092790603638,16,45.14540913552046
63029,246.88,425000,1.9320602,0.18028325,4250,0.006310247,0.077103995,0.8784539103507996,0.067085125,-0.0034993999,15.845554113388062,17,44.62480612039566
62388,247.11,450000,1.9295759,0.18068697,4500,0.006064638,0.07281999,0.919534869492054,0.051981647,-0.0039004416,16.6320903301239,18,44.792453123629095
63053,250.0,475000,1.9259077,0.18183623,4750,0.0062778443,0.079864,0.7447832822799683,0.015719235,-0.0016473376,17.427900075912476,19,45.459062908887866
62465,249.2,500000,1.9229435,0.18100926,5000,0.010460167,0.141116,0.9067326113581657,0.03751979,-0.00029962277,18.213901042938232,20,45.1671961696446
63330,250.0,525000,1.920111,0.18093883,5250,0.008269281,0.101144,0.8429732620716095,0.021696331,-0.00046727242,19.000717878341675,21,45.234700043052435
62069,246.19,550000,1.9169257,0.18067564,5500,0.009248461,0.12564799,0.7663865238428116,0.11970858,-0.002637711,19.77699065208435,22,44.613151045441626
62482,250.0,575000,1.9160233,0.1815471,5750,0.009158085,0.122848,0.8189903199672699,0.01819743,-0.00090009824,20.58016324043274,23,45.38677998170257
63854,250.0,600000,1.9114882,0.18158387,6000,0.0146579575,0.18498,0.8053981810808182,0.01673414,0.0033079195,21.38920497894287,24,45.39596359364688
62046,248.98,625000,1.9063069,0.18154594,6250,0.0076500974,0.099864006,0.3364153504371643,0.091504574,-0.0018438546,22.179492712020874,25,45.227352636009456
62116,247.08,650000,1.9033527,0.18091284,6500,0.00538215,0.062511995,0.8684632480144501,0.06611944,-0.0035830077,22.976181745529175,26,44.80012177363038
62009,247.52,675000,1.9010756,0.18114102,6750,0.008938774,0.119436,0.23320865631103516,0.16379716,-0.002085892,23.757893562316895,27,44.896514122188094
62294,248.91,700000,1.8984728,0.18166931,7000,0.006945503,0.089724,0.2769576907157898,0.08904888,-0.001888863,24.545021772384644,28,45.24693172112107
63288,247.29,725000,1.8939476,0.1811118,7250,0.00680935,0.087883994,0.5459346771240234,0.20287089,-0.0032760496,25.356836080551147,29,44.8815817604214
64345,250.0,750000,1.8899295,0.18165685,7500,0.00822226,0.107708,0.7786552011966705,0.0259626,-0.0015415715,26.14006757736206,30,45.41421205982566
61923,246.12,775000,1.8853757,0.18136774,7750,0.0063069984,0.07749601,0.8214871138334274,0.078629315,-0.0047077993,26.92598605155945,31,44.74206227645278
62046,250.0,800000,1.8801851,0.18225124,8000,0.0074639544,0.093732,0.8024021983146667,0.018050905,-0.0015572744,27.71346092224121,32,45.56281146273017
60833,248.39,825000,1.8733397,0.18132715,8250,0.006035539,0.068928,0.9040948450565338,0.038199376,-0.0034320771,28.50643229484558,33,45.145507563948634
63073,248.64,850000,1.8683231,0.18166864,8500,0.0076150387,0.10306001,0.3433242440223694,0.09246243,-0.0011145794,29.306601762771606,34,45.201732292920354
62175,245.9,875000,1.8662049,0.18054193,8750,0.005735446,0.067136005,0.905568040907383,0.08444026,-0.0047280747,30.0872745513916,35,44.630410313010216
61399,249.04,900000,1.8609085,0.18116592,9000,0.006902708,0.085244,0.8937196061015129,0.036245786,-0.0035120312,30.881372451782227,36,45.1980972455442
62701,250.0,925000,1.852474,0.18155088,9250,0.006812739,0.083248004,0.8429776877164841,0.028814534,-0.002364542,31.683765649795532,37,45.38771876655519
61268,248.21,950000,1.8449028,0.1820611,9500,0.0067407163,0.088048,0.3784601092338562,0.08980921,-0.0024126482,32.48612022399902,38,45.21247053787112
60796,247.5,975000,1.837871,0.18154539,9750,0.0076499907,0.098616004,0.5194169282913208,0.08809365,-0.0023369591,33.294228076934814,39,44.96984222307801
61255,248.91,1000000,1.8318245,0.18160436,10000,0.009315104,0.121104,0.5374830365180969,0.09570842,-0.0023359186,34.09487795829773,40,45.23081853099168
60717,250.0,1025000,1.8283012,0.18200013,10250,0.005391058,0.063512,0.7705334424972534,0.01655291,-0.0027553088,34.89574980735779,41,45.5000366255641
59855,250.0,1050000,1.8254659,0.18187791,10500,0.0065410426,0.080712,0.7943651974201202,0.017172143,-0.0019883183,35.698686838150024,42,45.46947422012687
60726,247.53,1075000,1.8191671,0.18154189,10750,0.006719579,0.08026,0.6840664148330688,0.11592023,-0.0033952289,36.50466227531433,43,45.02188285827637
60738,250.0,1100000,1.8129056,0.1823027,11000,0.0059473934,0.071328,0.7460009753704071,0.014455746,-0.002728467,37.334590911865234,44,45.57567199766636
61379,246.21,1125000,1.8056686,0.18134262,11250,0.009731891,0.128896,0.6015352308750153,0.1962727,-0.0020029354,38.157742500305176,45,44.76161012858152
61870,246.43,1150000,1.8013926,0.18145742,11500,0.00760536,0.101988,0.555790364742279,0.19409265,-0.0028349678,38.95070433616638,46,44.826472789198164
61286,243.46,1175000,1.7976074,0.18105994,11750,0.00852243,0.111503996,0.6841712296009064,0.24002552,-0.0024777097,39.75894784927368,47,44.27949438020587
61974,248.18,1200000,1.7962106,0.18172176,12000,0.004600321,0.051196,0.8050628155469894,0.06731285,-0.002576063,40.56356859207153,48,45.145241406708955
62477,248.98,1225000,1.793376,0.1818974,12250,0.007862994,0.10485999,0.33310920000076294,0.093001455,-0.0028220606,41.3448383808136,49,45.31336437225342
61468,248.0,1250000,1.7918065,0.18199734,12500,0.009134391,0.127208,0.6536095440387726,0.06667273,-0.0019000495,42.15097904205322,50,45.20091845452785
60816,250.0,1275000,1.7901943,0.18128684,12750,0.0058709485,0.070136,0.84052474796772,0.020992793,-0.0038138386,42.935739517211914,51,45.321708508580926
60349,247.98,1300000,1.7869885,0.18174408,13000,0.008912683,0.114383996,0.8962620049715042,0.034337927,-0.0033931632,43.73878860473633,52,45.176642573177816
60818,250.0,1325000,1.7840809,0.18187796,13250,0.009230468,0.11788,0.7934311032295227,0.013338804,0.0006017032,44.53762650489807,53,45.46948608800769
61177,248.22,1350000,1.7788088,0.18188772,13500,0.010121695,0.138104,0.24496066570281982,0.16158621,-0.0025950097,45.338972091674805,54,45.203435188606385
62108,248.95,1375000,1.7761643,0.1822746,13750,0.010361995,0.147,0.3476426601409912,0.087417915,-0.00091189274,46.136523962020874,55,45.41192069813609
60239,247.3,1400000,1.77451,0.181855,14000,0.008076081,0.080331996,0.7135733962059021,0.15277861,-0.0032612432,46.937830209732056,56,45.09920608341694
61786,249.09,1425000,1.7725003,0.18224747,14250,0.0072844042,0.09301599,0.8948182314634323,0.036683027,-0.004013077,47.74630308151245,57,45.45206217959523
60918,250.0,1450000,1.7689054,0.18227191,14500,0.0064619817,0.081488,0.7572137415409088,0.014454117,-0.0018565154,48.55849289894104,58,45.567973192185164
62135,247.77,1475000,1.7644144,0.18216836,14750,0.008728997,0.116895996,0.4681774973869324,0.08230332,-0.0013598104,49.35728907585144,59,45.19067803040147
62381,250.0,1500000,1.759071,0.1826433,15000,0.010624661,0.138708,0.7755291759967804,0.014485188,0.0008777354,50.14643979072571,60,45.66082191750407
61419,248.88,1525000,1.7549162,0.18217134,15250,0.0064420262,0.08019199,0.3757588863372803,0.09120253,-0.0016731678,50.926443099975586,61,45.37172924011946
60878,250.0,1550000,1.7540712,0.18218355,15500,0.0064510615,0.081191994,0.8192842453718185,0.018714504,-0.0023767573,51.71902656555176,62,45.5458887065947
63201,248.86,1575000,1.7543541,0.1824545,15750,0.008061834,0.10656401,0.30537480115890503,0.08748203,-0.0020852035,52.52448630332947,63,45.437497678697106
60701,243.54,1600000,1.753692,0.18161511,16000,0.009179646,0.123956,0.16077053546905518,0.30864534,-0.0023406302,53.300583600997925,64,44.377309619784356
60431,250.0,1625000,1.7505677,0.1817442,16250,0.010368437,0.128152,0.769415557384491,0.014446078,0.0004997647,54.09184384346008,65,45.43605141893029
62687,241.06,1650000,1.7473185,0.18067881,16500,0.008719065,0.118856,0.13208699226379395,0.524308,-0.0019704103,54.890769243240356,66,43.78709845811129
62764,245.34,1675000,1.7446508,0.18073605,16750,0.008054964,0.104536,0.15788578987121582,0.3033726,-0.002886556,55.67163372039795,67,44.46456000894308
60448,249.0,1700000,1.7378546,0.18170108,17000,0.012271588,0.15778,0.3909980058670044,0.088606335,-0.0001490328,56.465152740478516,68,45.27078427515924
61554,249.06,1725000,1.7357998,0.1818041,17250,0.009725652,0.121791996,0.36890697479248047,0.08673702,-0.00053102116,57.28434348106384,69,45.309621997028586
62682,247.91,1750000,1.7371225,0.1816167,17500,0.011816161,0.16122398,0.4374997019767761,0.0908635,-0.0015718918,58.085052728652954,70,45.08978776350617
60653,247.35,1775000,1.7398113,0.18136068,17750,0.016007882,0.20216802,0.5023336410522461,0.18547098,-2.0670355e-05,58.855857610702515,71,44.9267644559592
62638,247.58,1800000,1.740618,0.1817865,18000,0.008958896,0.11236,0.8225527703762054,0.04746779,-0.0023411387,59.66025686264038,72,45.09606139928103
62661,250.0,1825000,1.734355,0.18215173,18250,0.0065717646,0.083812006,0.7888810634613037,0.0153224785,-0.0017315755,60.442628145217896,73,45.53793140307069
61679,247.95,1850000,1.7285473,0.18144923,18500,0.0082382085,0.108908,0.8925556167960167,0.062177878,-0.0028933482,61.22938680648804,74,45.13353459134698
62400,248.68,1875000,1.7263969,0.18169147,18750,0.012321567,0.16673201,0.6859950423240662,0.05963664,0.00044223983,62.021422386169434,75,45.234896910190585
61005,250.0,1900000,1.7247617,0.18256444,19000,0.0071678287,0.092856005,0.7767229676246643,0.014059521,-0.0011530353,62.80677604675293,76,45.64110745251179
60299,247.8,1925000,1.7216934,0.18190417,19250,0.011363482,0.15169999,0.2820519804954529,0.15891975,-0.00302478,63.60383224487305,77,45.14792473554611
60324,248.88,1950000,1.7189572,0.18174177,19500,0.008240832,0.10489199,0.6129132211208344,0.09332194,-0.0026076962,64.42521953582764,78,45.2599114279449
60936,248.94,1975000,1.7141664,0.18198873,19750,0.00835506,0.108228005,0.32089531421661377,0.08612315,-0.0024766207,65.23060083389282,79,45.33737194210291
61822,249.27,2000000,1.7102835,0.18243445,20000,0.0098859565,0.12795201,0.40303128957748413,0.085766256,-0.0024639121,66.03536891937256,80,45.50057411715388
60913,247.79,2025000,1.7065703,0.18219058,20250,0.0077817403,0.098792,0.5756962597370148,0.06966698,-0.001872563,66.8254063129425,81,45.18970328733325
62518,249.15,2050000,1.7040927,0.18211412,20500,0.009836428,0.127884,0.8768540769815445,0.046808302,-0.0027035014,67.62009906768799,82,45.433595886528494
60431,250.0,2075000,1.6999447,0.18252793,20750,0.0044339546,0.047771998,0.7696542739868164,0.016037349,-0.0018346477,68.3999674320221,83,45.63198081970215
61523,250.0,2100000,1.6931925,0.1824934,21000,0.00527345,0.061995994,0.7774448692798615,0.015279633,-0.0024080914,69.20610928535461,84,45.62334532111883
61054,243.88,2125000,1.6860182,0.18182586,21250,0.007498683,0.09906001,0.46373242139816284,0.22725864,-0.0035093122,69.99028253555298,85,44.434604286625984
61526,250.0,2150000,1.682362,0.18276197,21500,0.007425918,0.097544,0.8144300878047943,0.013517854,-0.0023730067,70.78687381744385,86,45.69049067787826
61437,250.0,2175000,1.6747118,0.18282335,21750,0.013160033,0.17623201,0.7731322348117828,0.0141310245,0.0030011965,71.57401299476624,87,45.70583402946591
61955,250.0,2200000,1.6675602,0.18291771,22000,0.006596323,0.083288,0.768645241856575,0.01153042,-0.0017354504,72.36093640327454,88,45.72942818969488
60978,250.0,2225000,1.6614063,0.18262391,22250,0.0074384594,0.096448,0.8037711083889008,0.013105622,-0.0015092896,73.14959383010864,89,45.65597160503268
61819,250.0,2250000,1.6548964,0.18267977,22500,0.00692076,0.085084,0.8345337957143784,0.016095627,-0.0019373575,73.94839572906494,90,45.669942785948514
52663,250.0,2275000,1.6492779,0.18271443,22750,0.008456036,0.109924,0.8197080492973328,0.016386209,-0.0023620543,74.73927617073059,91,45.67860680267215
62887,247.67,2300000,1.6476771,0.18252096,23000,0.012053192,0.15768799,0.41895753145217896,0.08880489,-0.0014173813,75.6204764842987,92,45.22915929764509
63166,250.0,2325000,1.6450325,0.18292512,23250,0.006532433,0.083568,0.7914592027664185,0.013156205,-0.0012611772,76.41653490066528,93,45.7312822547555
62107,247.15,2350000,1.6384863,0.18217689,23500,0.007059316,0.088156,0.7472109198570251,0.10784087,-0.0024456405,77.21014451980591,94,45.17146571770311
62938,248.29,2375000,1.6322597,0.18253314,23750,0.010508576,0.134404,0.9328446015715599,0.028408173,-0.0022494295,77.98847842216492,95,45.424471330940726
61855,248.71,2400000,1.6272014,0.18266685,24000,0.021919709,0.25167197,0.4830939769744873,0.09104169,0.0019784179,78.77055621147156,96,45.457577145844695
62452,250.0,2425000,1.6245581,0.18303744,24250,0.007362745,0.09339199,0.82961106300354,0.013992259,-0.0028042505,79.55773329734802,97,45.75936240807176
61478,247.75,2450000,1.6206989,0.18181676,24500,0.008358395,0.10467599,0.8860042616724968,0.07952006,-0.0039859856,80.3432092666626,98,45.19958334721625
61033,250.0,2475000,1.6174629,0.18278024,24750,0.006050679,0.073936,0.7725530862808228,0.017017223,-0.0027176484,81.13174223899841,99,45.69505942218006
61803,250.0,2500000,1.612847,0.1826329,25000,0.0050396444,0.057208,0.8164951950311661,0.017507764,-0.0032861817,81.93323874473572,100,45.658222110569476
61192,250.0,2525000,1.6039469,0.18301822,25250,0.008991183,0.114796005,0.8173602372407913,0.01195308,-0.00013996502,82.72017908096313,101,45.7545595471561
61712,248.98,2550000,1.5952795,0.18223059,25500,0.0076507507,0.09764,0.9061455056071281,0.03997267,-0.0040657567,83.50612092018127,102,45.44125251226127
61308,250.0,2575000,1.5864952,0.18303181,25750,0.008148314,0.104191996,0.8447752594947815,0.013021223,-0.00048885663,84.29038834571838,103,45.757956082224844
60995,247.89,2600000,1.5784318,0.18261926,26000,0.0109215025,0.13715202,0.7058159708976746,0.11632824,-0.0028571363,85.09208250045776,104,45.38338497340679
63238,250.0,2625000,1.5731795,0.18311259,26250,0.0054878118,0.063227996,0.8103257864713669,0.012170149,-0.0038634744,85.88095712661743,105,45.778148156479
62186,250.0,2650000,1.568947,0.18333414,26500,0.012478264,0.162036,0.8236033618450165,0.011429536,0.002937675,86.64934802055359,106,45.833536291867496
62553,250.0,2675000,1.5645049,0.18285194,26750,0.0067378506,0.087588,0.8386463671922684,0.020161962,-0.0015678419,87.42714500427246,107,45.71298518747091
61695,250.0,2700000,1.5616126,0.18328461,27000,0.008045482,0.105892,0.8067585229873657,0.010353471,-0.001805569,88.20200872421265,108,45.82115335971117
63112,249.0,2725000,1.5598761,0.18289861,27250,0.011390341,0.154644,0.36192941665649414,0.08538351,-0.0012848869,88.98510694503784,109,45.572087658643724
61866,249.09,2750000,1.5569385,0.1829429,27500,0.010113707,0.13184799,0.9083771035075188,0.029521149,-0.0021620556,89.75741791725159,110,45.62988760203123
60488,250.0,2775000,1.5489814,0.18335994,27750,0.0060038893,0.07462,0.8066652715206146,0.010935605,-0.002674704,90.52885508537292,111,45.839984484761956
62740,250.0,2800000,1.5377452,0.18309814,28000,0.007939822,0.095864,0.8166744410991669,0.014242187,-0.00024882876,91.31901955604553,112,45.77453387275338
