explained_variance,policy_entropy,approxkl,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,true_reward,time_elapsed,total_timesteps,value_loss
0.17373335361480713,5.6757827,163692.78,250,1,-43.10858424030594,18.79,0.061455645,0.515488,4816,-5.1570086,0.0013287067413330078,25000,16037.385
0.20613324642181396,5.6758647,26132.299,500,2,-46.64779910603538,19.54,0.04161311,0.53924406,57381,-4.4413486,5.770559549331665,50000,12817.424
0.22876495122909546,5.6760197,3657.5527,750,3,-38.0956213365047,18.4,0.02647934,0.363836,58749,-4.41988,6.640034198760986,75000,14593.06
0.22745203971862793,5.6760793,281.82248,1000,4,-35.437149552939225,17.8,0.020007718,0.29189602,59946,-4.3311534,7.488842487335205,100000,12206.3
0.2615537643432617,5.6760693,3620.925,1250,5,-137.8484015603573,20.06,0.03630555,0.45823997,58582,-4.631671,8.342337846755981,125000,15929.144
0.23772984743118286,5.676052,39465.906,1500,6,-40.42820408882573,16.76,0.03681887,0.427164,58181,-4.667786,9.208870649337769,150000,13699.597
0.23482030630111694,5.676074,1698.4226,1750,7,-106.90189823620021,19.04,0.014500541,0.28079203,57332,-4.9378176,10.057275772094727,175000,16379.888
0.26247453689575195,5.6762047,7254.4673,2000,8,-41.42340191548574,18.67,0.022926096,0.42004403,58669,-5.042409,10.917111873626709,200000,20654.688
0.23709970712661743,5.676238,496.75946,2250,9,-37.41952790511772,16.31,0.01751511,0.24080798,59764,-5.21571,11.76566457748413,225000,18351.664
0.21926087141036987,5.6762667,143.7955,2500,10,-51.44781174625037,17.15,0.027884547,0.194476,58024,-5.3055825,12.609116792678833,250000,16404.016
0.24445390701293945,5.676275,15374.315,2750,11,-49.789547143075616,18.42,0.04793172,0.38852,58998,-5.2474227,13.46497654914856,275000,17800.7
0.24460572004318237,5.6762896,70063.35,3000,12,-32.238268006462604,17.1,0.03595356,0.375768,57791,-5.502047,14.318479061126709,300000,20027.734
0.2776572108268738,5.6763687,378508.7,3250,13,-73.08948639673181,18.01,0.059743624,0.533392,57418,-5.238802,15.183669567108154,325000,22034.027
0.1908443570137024,5.67652,24916.707,3500,14,-34.97340938750654,17.79,0.037866198,0.39424,57839,-3.5828216,16.041857957839966,350000,7155.5596
0.2030777931213379,5.6767354,9076.205,3750,15,-59.48373416264541,19.52,0.023907114,0.279012,57986,-3.695564,16.90934944152832,375000,9257.154
0.14562970399856567,5.67695,3298.2551,4000,16,-35.17716682688304,17.39,0.02764703,0.22542799,58569,-4.0115924,17.770655155181885,400000,11090.41
0.14742249250411987,5.677203,55482.5,4250,17,-30.39047497207299,17.36,0.036573797,0.43780804,57249,-3.7614133,18.630217790603638,425000,8835.119
0.17651009559631348,5.67741,2566.106,4500,18,-32.680672946209086,17.89,0.023537805,0.22332402,58076,-3.7497828,19.51480984687805,450000,8848.225
0.18877989053726196,5.6776805,1084.6493,4750,19,-38.58568833343685,16.95,0.023868594,0.25537997,57643,-3.9647703,20.368346452713013,475000,11060.201
0.18097424507141113,5.6778183,1306.3453,5000,20,-52.74553796460852,19.09,0.02482718,0.30230397,58265,-3.6344306,21.231013298034668,500000,7343.5635
0.19334250688552856,5.677726,40963796.0,5250,21,-40.78485366769484,18.21,0.10070286,0.599348,56816,-3.9148982,22.08173966407776,525000,10257.639
0.11577951908111572,5.6774673,3124796.5,5500,22,-31.59775510970503,16.39,0.06191253,0.44783598,56680,-4.183019,22.939095497131348,550000,11435.65
0.11666619777679443,5.677308,165151.28,5750,23,-32.51811461345292,16.25,0.047218908,0.42245197,56618,-4.49726,23.804888010025024,575000,13886.081
0.12768399715423584,5.6774044,20645.256,6000,24,-40.83806628481485,17.82,0.046983626,0.29018,57083,-4.1362724,24.669451236724854,600000,11674.442
0.1135638952255249,5.677519,35836.773,6250,25,-28.82148077606922,16.81,0.048685785,0.394032,57174,-4.2631555,25.526852130889893,625000,11649.652
0.14513105154037476,5.6776557,10532.144,6500,26,-43.74644978258759,17.33,0.040180683,0.414692,59054,-4.2297564,26.40085220336914,650000,12528.564
0.13891339302062988,5.677745,178023.34,6750,27,-58.42337957720896,17.68,0.053889297,0.298604,56868,-4.268191,27.244616985321045,675000,12528.359
