value_loss,clipfrac,ep_reward_mean,policy_loss,explained_variance,ep_len_mean,approxkl,policy_entropy,n_updates,true_reward,total_timesteps,fps,time_elapsed,serial_timesteps
1514.2864,0.33509597,-7.916113006972979,0.10961975,-1.2669572830200195,19.15,157198.8,5.6757793,1,-0.83987343,25000,4941,0.0008213520050048828,250
995.12305,0.43252,-10.971494585425825,0.11122741,-0.5840580463409424,21.53,1704.9758,5.675811,2,-0.8176108,50000,58283,5.633120536804199,500
1269.824,0.23982802,-9.53237986832286,0.09611599,-0.7643288373947144,18.69,182.12207,5.6759825,3,-0.8518806,75000,58882,6.499676942825317,750
1044.6162,0.286444,-9.945234887824336,0.09642222,-0.5143454074859619,19.92,1110.7634,5.6761622,4,-0.8052979,100000,59033,7.3618927001953125,1000
861.9795,0.40922397,-9.158452045265658,0.12196386,-0.6719956398010254,21.94,14043.725,5.6763916,5,-0.79350287,125000,58713,8.231304407119751,1250
607.2427,0.44894004,-6.020651452179882,0.097596906,-0.4317687749862671,19.17,27447.941,5.6767373,6,-0.7094347,150000,59648,9.101980447769165,1500
450.1936,0.40882397,-5.11861545851767,0.09564601,-0.34365808963775635,17.7,15502.814,5.6772013,7,-0.6580311,175000,59524,9.941884756088257,1750
381.97058,0.562708,-6.36926900160528,0.12084486,-0.13137900829315186,19.72,15167.833,5.67786,8,-0.6601808,200000,59189,10.789803981781006,2000
600.5064,0.25974804,-6.1694892218348105,0.08910256,-0.30930447578430176,17.26,14687.8125,5.6784644,9,-0.75452787,225000,59498,11.639863967895508,2250
486.23746,0.19114399,-6.2907768297968145,0.08100403,-0.2751692533493042,20.49,204.0196,5.6789107,10,-0.71133524,250000,58014,12.499874114990234,2500
427.13348,0.357,-8.691710297110694,0.09462061,-0.29131805896759033,21.6,5467.5425,5.6794925,11,-0.68621594,275000,59649,13.375595808029175,2750
472.27628,0.32712,-7.651391129626427,0.09169907,-0.06651949882507324,19.85,22874.055,5.6802044,12,-0.72718173,300000,57833,14.231816291809082,3000
