clipfrac,n_updates,policy_loss,time_elapsed,ep_reward_mean,serial_timesteps,approxkl,fps,ep_len_mean,explained_variance,true_reward,policy_entropy,value_loss,total_timesteps
0.620772,1,0.12706836,0.0008099079132080078,-3.51446122255933,250,166691.4,4983,17.82,-0.9989840984344482,-0.6349364,5.6757836,1278.6934,25000
0.29979602,2,0.11410693,5.60487699508667,-5.108769954319887,500,1319.9215,57975,18.97,-1.8534271717071533,-0.77459717,5.675824,1911.1301,50000
0.30771598,3,0.11094843,6.476743221282959,-3.7146350687975063,750,5021.6553,57965,17.28,-2.437176465988159,-0.79898787,5.675983,2273.445,75000
0.259468,4,0.10603304,7.342936038970947,-3.849349059570341,1000,505.20322,57722,16.89,-2.5907135009765625,-0.771982,5.6761575,2099.501,100000
0.332172,5,0.11822592,8.195829153060913,-4.741877711693523,1250,1447.1526,59162,18.21,-1.8993263244628906,-0.7813785,5.6764126,2083.9023,125000
0.41911203,6,0.12012162,9.052426815032959,-3.061024815225392,1500,140814.86,60133,18.33,-2.1918678283691406,-0.74015623,5.676723,1878.8539,150000
0.50262797,7,0.10178671,9.904647827148438,-3.1189633677994606,1750,4658.419,59520,19.38,-0.5434116125106812,-0.51048416,5.6771326,524.5505,175000
0.41176,8,0.093924716,10.749099254608154,-5.072370127560571,2000,202566.6,57838,19.55,-0.11173105239868164,-0.474674,5.6777425,321.21283,200000
0.46554404,9,0.10637963,11.620975494384766,-4.422860697901633,2250,1994759.2,58883,21.38,-0.36717188358306885,-0.48069203,5.678886,416.05966,225000
0.482764,10,0.06949753,12.468950986862183,-4.09849671144284,2500,18714.898,58603,17.93,0.03833949565887451,-0.41862598,5.6801615,292.02536,250000
0.54234,11,0.083959766,13.323330879211426,-2.5700879776281362,2750,263903.78,60155,16.63,-0.15736567974090576,-0.41551867,5.6812577,215.32687,275000
0.382208,12,0.08295421,14.171295642852783,-4.844267408074083,3000,3851.877,53845,18.66,0.09383481740951538,-0.5395604,5.6822987,425.4916,300000
0.406884,13,0.09460937,15.061189651489258,-7.759144884411216,3250,1964.9207,58509,18.66,0.08568459749221802,-0.58145475,5.68314,487.10468,325000
0.28734797,14,0.07826992,15.913742542266846,-5.677998694210491,3500,6762.212,59841,18.46,-0.1595543622970581,-0.5127373,5.6839685,337.4676,350000
