approxkl,ep_reward_mean,policy_loss,n_updates,ep_len_mean,time_elapsed,policy_entropy,clipfrac,serial_timesteps,total_timesteps,fps,value_loss,true_reward,explained_variance
245.12802,0.4185870034221261,0.097969905,1,21.21,0.0009267330169677734,5.6758265,0.26313198,250,25000,4929,766.18,-0.1034847,-4.9119977951049805
377.0307,0.4631740946334321,0.09739943,2,16.15,5.647932291030884,5.6761656,0.278624,500,50000,58045,626.21765,-0.10113428,-6.0541839599609375
740.225,0.3544996080493729,0.102141224,3,16.15,6.518268823623657,5.676782,0.290884,750,75000,57556,748.509,-0.10591035,-6.693731784820557
17248.566,0.5121008594819796,0.11191932,4,16.34,7.381080865859985,5.677584,0.35209998,1000,100000,57364,728.4346,-0.11131773,-7.241477012634277
9804.422,0.14390816879512386,0.122573994,5,18.55,8.249765396118164,5.6788106,0.38004398,1250,125000,56800,719.636,-0.113185,-2.6725032329559326
1148.8896,0.2992762680869782,0.1276796,6,16.15,9.117542505264282,5.6798396,0.33824,1500,150000,54985,773.0272,-0.12222033,-5.712887763977051
3342998.8,0.3956440678937361,0.1523895,7,16.15,10.01592755317688,5.6808243,0.656444,1750,175000,52954,754.8027,-0.12214419,-8.266654014587402
35831.113,0.40518067072390296,0.14418598,8,20.43,10.92090106010437,5.6824446,0.572948,2000,200000,55748,309.74997,-0.10723804,-3.6535305976867676
7953.703,0.4106770316600159,0.1159509,9,18.49,11.80516791343689,5.684505,0.325572,2250,225000,59239,302.47458,-0.109065,-3.530015468597412
16216.083,0.4834554045226287,0.12566748,10,20.45,12.659734010696411,5.686532,0.39728397,2500,250000,58920,340.7116,-0.11345295,-4.566320896148682
9723.133,0.3382561934075056,0.13393697,11,15.39,13.510475397109985,5.6884155,0.43063203,2750,275000,55772,435.9002,-0.11949568,-4.71317720413208
513.73126,0.37793436067683844,0.119355105,12,19.12,14.394066333770752,5.6905956,0.26882,3000,300000,58722,383.26685,-0.12054038,-4.678882598876953
1056.1056,0.237700459415355,0.11295569,13,17.26,15.265291452407837,5.692666,0.290196,3250,325000,57198,262.255,-0.113099426,-3.258403778076172
9482.201,0.4166690198259312,0.13533278,14,18.52,16.128354787826538,5.6944633,0.38384,3500,350000,56384,269.17175,-0.11715141,-4.721131801605225
302333.94,0.4060311536806694,0.14140704,15,15.52,16.990917682647705,5.6961503,0.45410806,3750,375000,57249,326.3664,-0.12323914,-6.720673561096191
778972.4,0.43636712004197764,0.15351053,16,18.18,17.849974393844604,5.698329,0.510064,4000,400000,58090,205.99521,-0.12439208,-5.576120853424072
64789.82,0.4164817038594083,0.1493896,17,17.91,18.70927143096924,5.699898,0.56993204,4250,425000,57568,91.55241,-0.106318064,-3.3475170135498047
169148.7,0.3774383285269141,0.13838616,18,17.51,19.57218647003174,5.702312,0.413076,4500,450000,57234,79.454636,-0.112390146,-3.0348401069641113
78159.734,0.31233816658725116,0.14357932,19,18.48,20.427382707595825,5.7057514,0.45332402,4750,475000,48870,38.142323,-0.1056774,-1.7453227043151855
2583.9624,0.47699716435425216,0.14487544,20,16.52,21.37023162841797,5.7098656,0.417516,5000,500000,57707,61.547462,-0.1177086,-2.462117910385132
204054.8,0.3933764421512024,0.18218996,21,19.26,22.220196962356567,5.7131014,0.48692003,5250,525000,56526,23.323168,-0.112841286,-0.8439633846282959
12493.15,0.2824185376206151,0.14464514,22,19.28,23.097758531570435,5.716748,0.429228,5500,550000,58278,12.75782,-0.10872125,-0.34742021560668945
1343828.0,0.2398210524055503,0.22194366,23,18.69,23.94066596031189,5.7211866,0.619184,5750,575000,57337,10.983511,-0.10844829,-0.40327537059783936
3696.8315,0.4123185298459521,0.1450934,24,17.98,24.8049054145813,5.72676,0.43076,6000,600000,57845,9.728183,-0.103392184,-0.37779808044433594
8512.0,0.42785926562952226,0.15153036,25,18.41,25.661564350128174,5.732901,0.44471198,6250,625000,58091,6.6963906,-0.10182006,-0.0749962329864502
113153.65,0.4747513747710764,0.17121102,26,17.55,26.509941339492798,5.740027,0.51696,6500,650000,57325,4.9010725,-0.10036552,-0.05936276912689209
408764.2,0.5784249151743461,0.15379971,27,19.49,27.363786697387695,5.749094,0.464228,6750,675000,57752,4.253534,-0.090969466,-0.09713530540466309
817368.56,0.3754084696665086,0.15155761,28,17.93,28.234030723571777,5.759023,0.660276,7000,700000,57127,5.498098,-0.103803046,-0.38551509380340576
8543502.0,0.4851188419662503,0.26927227,29,19.21,29.10611343383789,5.7669253,0.79466397,7250,725000,57039,2.7166252,-0.08497866,-0.028328299522399902
170970.14,0.29377030204370386,0.12885019,30,17.47,29.981340169906616,5.7731104,0.596836,7500,750000,56675,4.906602,-0.11190379,-0.6954221725463867
438256.6,0.371726620997797,0.09647478,31,18.89,30.864176511764526,5.7779946,0.628524,7750,775000,58866,4.5730677,-0.110823825,-0.9990630149841309
299234.3,0.1318527286596145,0.17622873,32,18.16,31.794907569885254,5.782421,0.600544,8000,800000,52565,3.2837663,-0.118325986,-0.2146235704421997
186724.3,0.23018674799216568,0.14675888,33,17.96,32.73734211921692,5.7874727,0.604292,8250,825000,59229,2.4947474,-0.12157804,-0.039011240005493164
120424.98,0.3407954364960824,0.11056279,34,18.22,33.68672323226929,5.7913384,0.592048,8500,850000,59084,2.2652838,-0.11363466,-0.43347084522247314
89697.89,0.3376497307871978,0.08805494,35,16.9,34.5795202255249,5.7945967,0.59687597,8750,875000,57713,2.7596674,-0.11703121,-0.3484286069869995
23671.521,0.18159163514228566,0.058592357,36,19.07,35.475706338882446,5.798071,0.53681195,9000,900000,51659,2.4786472,-0.11715824,-0.9007992744445801
123697.27,0.10077053358195372,0.0772587,37,19.0,36.45264172554016,5.8006,0.59264,9250,925000,57576,3.0106342,-0.12051001,-0.3727591037750244
10875.929,0.10692858005155358,0.027827214,38,16.54,37.39286923408508,5.8021207,0.473236,9500,950000,51863,2.7085245,-0.11771098,-0.8235875368118286
118128.33,0.2360643739212537,0.097589985,39,16.14,38.447468280792236,5.8038816,0.61263597,9750,975000,48400,3.7343445,-0.11629167,-1.175060749053955
15374862.0,0.21531018805824714,0.15198033,40,18.99,39.58005452156067,5.806807,0.79118,10000,1000000,52131,2.1399224,-0.11229462,0.0520290732383728
2939150.5,0.32591382404556496,0.12018607,41,18.25,40.554362535476685,5.810689,0.746068,10250,1025000,54588,1.5793455,-0.10502164,-0.12312591075897217
