fps,value_loss,policy_entropy,total_timesteps,n_updates,true_reward,clipfrac,serial_timesteps,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,approxkl,explained_variance
5071,89.64929,5.676963,25000,1,-0.08253293,0.548504,250,0.43452144851053165,0.2159601,17.71,0.001252889633178711,61.908497,-7.728233337402344
58620,76.64302,5.681175,50000,2,-0.084153175,0.35744002,500,0.4177964223850722,0.14396885,16.39,5.521804332733154,1.94082,-9.551812171936035
57967,66.4244,5.6876116,75000,3,-0.08563348,0.26964802,750,0.4494762313227693,0.09640874,14.59,6.393728733062744,0.20593318,-16.310617446899414
58062,51.706383,5.694064,100000,4,-0.083792806,0.219752,1000,0.4303068519575754,0.07614384,15.94,7.259758472442627,0.2011703,-12.699256896972656
60195,40.821922,5.6987967,125000,5,-0.084717326,0.245864,1250,0.5146316799350097,0.08412916,16.49,8.133394002914429,0.16577095,-11.676033973693848
57239,31.247501,5.703098,150000,6,-0.08374462,0.197868,1500,0.4491388712365733,0.06869556,15.72,8.97393012046814,0.111629464,-9.754672050476074
58278,24.296238,5.707014,175000,7,-0.08272296,0.215132,1750,0.5075067483202292,0.08219896,17.27,9.833105564117432,0.112928964,-8.279157638549805
58448,21.866184,5.711104,200000,8,-0.08306065,0.175316,2000,0.39434280237061103,0.056324363,15.76,10.683628559112549,0.05807876,-9.634909629821777
58290,18.89907,5.7155614,225000,9,-0.08379078,0.20433998,2250,0.37234943886302063,0.072099306,16.15,11.545683145523071,0.097588755,-7.660758972167969
57984,17.906252,5.7198706,250000,10,-0.0859176,0.250256,2500,0.4680171597337903,0.09108176,13.27,12.395009756088257,0.18161467,-10.289676666259766
56457,15.14944,5.7260885,275000,11,-0.08415003,0.34807602,2750,0.35469042043489024,0.1221419,14.55,13.262909889221191,0.5999707,-7.509005546569824
57183,12.823665,5.7344356,300000,12,-0.08469951,0.2637,3000,0.40869906318490395,0.08330871,14.15,14.15601372718811,0.19133934,-8.366253852844238
57970,9.538743,5.740465,325000,13,-0.08483893,0.165692,3250,0.42466906278261374,0.049682513,14.05,15.021544456481934,0.05000009,-9.489191055297852
57483,8.02044,5.743483,350000,14,-0.08514397,0.1477,3500,0.39351295511776696,0.05168944,13.18,15.881657361984253,0.05114715,-10.135457038879395
58776,4.3053484,5.745205,375000,15,-0.08373718,0.182532,3750,0.3981836710234347,0.0531056,14.26,16.74609088897705,0.07291578,-5.000543594360352
58195,3.391227,5.7474456,400000,16,-0.08426094,0.19828,4000,0.34977973797373124,0.05418246,15.68,17.61367416381836,0.107164025,-5.728254318237305
56546,2.3116038,5.750769,425000,17,-0.0829321,0.12233199,4250,0.4860941787299817,0.02763009,13.99,18.48747944831848,0.027279967,-2.927263021469116
56784,1.4729128,5.753458,450000,18,-0.08235484,0.155548,4500,0.34065473082779135,0.041559987,16.6,19.366901397705078,0.047371767,-3.398819923400879
59003,0.96158874,5.756025,475000,19,-0.08128332,0.12058,4750,0.5024407284405242,0.024281628,17.98,20.242255926132202,0.028412681,-2.0912389755249023
58354,0.7508625,5.7564483,500000,20,-0.08135308,0.23936002,5000,0.4144007486186456,0.06007278,16.76,21.097467184066772,0.12905957,-1.370405912399292
59310,0.55743206,5.757076,525000,21,-0.08050586,0.32217997,5250,0.5700886918539254,0.08834884,17.68,21.960030555725098,0.37989917,-1.05397629737854
58343,0.493019,5.7596216,550000,22,-0.08234125,0.21061198,5500,0.5424490897084615,0.05017931,16.39,22.80739140510559,0.11932937,-0.883519172668457
56717,0.40997797,5.7629347,575000,23,-0.07991882,0.164136,5750,0.5757287638065464,0.036198176,17.21,23.67141342163086,0.051293083,-0.5535610914230347
57950,0.3731924,5.7660856,600000,24,-0.07796213,0.16659601,6000,0.580236136596941,0.036491666,16.49,24.557114124298096,0.05131025,-0.32735395431518555
58538,0.38395676,5.771102,625000,25,-0.077772334,0.159672,6250,0.6022072326597118,0.029198084,17.8,25.420840740203857,0.07609175,-0.0533221960067749
59434,0.35471642,5.773925,650000,26,-0.0780926,0.142372,6500,0.49083205598028146,0.02753244,17.16,26.295594215393066,0.03893254,-0.17449414730072021
59200,0.2474693,5.7765083,675000,27,-0.075982444,0.132168,6750,0.6514506336685667,0.013280516,17.99,27.155394077301025,0.046395767,0.0778551697731018
56173,0.22548862,5.7783113,700000,28,-0.075278595,0.16602,7000,0.6484395673440667,0.012615291,19.57,28.008500814437866,0.06659408,0.17141133546829224
57409,0.23928729,5.7800126,725000,29,-0.07357371,0.249844,7250,0.6474203969852533,0.032953583,20.18,28.895734548568726,0.22517733,0.1992531418800354
58032,0.21109958,5.7844286,750000,30,-0.074077144,0.19135599,7500,0.720915121105354,0.023768779,19.34,29.74838876724243,0.06202384,0.3363049626350403
58373,0.22408807,5.787457,775000,31,-0.07228484,0.17226,7750,0.700001727866329,0.018127818,19.32,30.62174153327942,0.066765904,0.41104811429977417
59175,0.23249376,5.7894278,800000,32,-0.07154255,0.156188,8000,0.590489856865388,0.018682651,17.49,31.481618881225586,0.05595236,0.4387037754058838
59573,0.22497852,5.78901,825000,33,-0.069398396,0.17614801,8250,0.6738460974410918,0.024730626,20.01,32.3374342918396,0.089324296,0.411598265171051
57899,0.22100325,5.7874255,850000,34,-0.068442166,0.127628,8500,0.7896234323309909,0.013830361,18.54,33.179466247558594,0.03487596,0.46863454580307007
57210,0.21545014,5.7838435,875000,35,-0.06646603,0.12918401,8750,0.7376268936754786,0.013675444,19.44,34.04726576805115,0.032114677,0.4912922978401184
57777,0.22449172,5.7775464,900000,36,-0.06325645,0.24766798,9000,1.0128578913436286,0.03045718,21.67,34.91089487075806,0.17245083,0.5321010947227478
58047,0.21241105,5.7737174,925000,37,-0.064065866,0.108876005,9250,0.6530366876134213,0.009506177,19.01,35.77405142784119,0.02277748,0.5344980359077454
57720,0.2183564,5.7699285,950000,38,-0.062538005,0.132244,9500,0.7885041330768581,0.0090677235,22.36,36.63692331314087,0.024577595,0.5450932085514069
57185,0.21089272,5.7633843,975000,39,-0.060138624,0.140992,9750,0.7727659133125416,0.008284901,20.74,37.50590491294861,0.022917397,0.5638307631015778
58119,0.21613772,5.750679,1000000,40,-0.061042275,0.23242,10000,0.875098219618012,0.02295291,20.68,38.373210191726685,0.08495702,0.5800487697124481
59853,0.21369259,5.739709,1025000,41,-0.060619965,0.31554002,10250,0.7796609223479755,0.04037754,21.05,39.247803926467896,0.37808114,0.5903821587562561
58494,0.22112402,5.7346835,1050000,42,-0.060668882,0.182888,10500,0.8458422701791551,0.01634164,19.92,40.09008479118347,0.061248202,0.552295446395874
58750,0.21260536,5.7261534,1075000,43,-0.057548624,0.11982401,10750,0.8803873973615555,0.007159875,23.32,40.95175361633301,0.021962443,0.5577985942363739
58320,0.22736713,5.718637,1100000,44,-0.058815885,0.14602001,11000,0.8133373913471587,0.011298178,21.79,41.820231914520264,0.0373326,0.5967377722263336
56912,0.22623377,5.714902,1125000,45,-0.05498425,0.057432003,11250,0.9205456012640871,0.00066457334,22.5,42.678548097610474,0.010167803,0.5908104777336121
59387,0.21448755,5.706827,1150000,46,-0.055971317,0.13868001,11500,0.9068618120540486,0.0106699,21.72,43.548988580703735,0.043627158,0.5654686391353607
56960,0.21107307,5.69652,1175000,47,-0.054421213,0.19864002,11750,0.9015065052724094,0.016374636,20.56,44.40683889389038,0.056053966,0.5802660882472992
57647,0.2072469,5.6889853,1200000,48,-0.05242695,0.273216,12000,1.1224219878940949,0.026939059,23.38,45.27556872367859,0.20409901,0.5932596623897552
60395,0.20862937,5.6840854,1225000,49,-0.052464765,0.27198,12250,0.9244086308182523,0.023662563,23.98,46.12972950935364,0.08323945,0.6198417842388153
57848,0.20499611,5.6810703,1250000,50,-0.05117336,0.33048803,12500,1.0395508759940275,0.036404982,24.02,46.97693133354187,0.22625455,0.6317862868309021
57390,0.21576734,5.6778665,1275000,51,-0.04981476,0.12868801,12750,1.0324948382902948,0.006045931,24.73,47.839192628860474,0.020550027,0.6278281509876251
58323,0.21289949,5.667074,1300000,52,-0.050671533,0.097940005,13000,0.9825622877999376,0.003054394,21.9,48.69900965690613,0.016103338,0.6138593852519989
56852,0.23341691,5.6527348,1325000,53,-0.048203453,0.105335996,13250,1.0125847428737325,0.0027387408,23.36,49.55648994445801,0.0163331,0.6296200752258301
57979,0.21631984,5.6439238,1350000,54,-0.049435664,0.106324,13500,1.0302288587347084,0.0025377427,23.75,50.41763997077942,0.016686192,0.6323124468326569
57637,0.21825247,5.6397486,1375000,55,-0.049339432,0.115395986,13750,0.9765029140998377,0.0040157614,21.0,51.27411198616028,0.019998048,0.6278582513332367
59623,0.21523741,5.6339703,1400000,56,-0.047761537,0.14284399,14000,1.2297438253909059,0.0072665736,25.73,52.13681888580322,0.024904232,0.6093316674232483
57988,0.21420734,5.6240506,1425000,57,-0.04647924,0.109928,14250,1.061086666190422,0.0027004445,24.93,52.98303532600403,0.019263731,0.639811098575592
57688,0.19687846,5.61144,1450000,58,-0.047823623,0.128584,14500,0.9055317652453959,0.0056446,19.6,53.83996248245239,0.01811484,0.6412128508090973
58884,0.1921814,5.602445,1475000,59,-0.045867074,0.101448,14750,0.9958163853071165,0.0028791437,24.04,54.702003717422485,0.02439462,0.6298926472663879
59455,0.20436911,5.592424,1500000,60,-0.04449708,0.144248,15000,1.1071117081643025,0.0057448912,24.19,55.55585241317749,0.020506224,0.6599806547164917
56628,0.19859836,5.5819464,1525000,61,-0.04704148,0.105624,15250,0.9626011858626589,0.0043733334,21.11,56.415034532547,0.017497953,0.6527795195579529
58951,0.20862095,5.568031,1550000,62,-0.04668957,0.120776,15500,1.172251580772354,0.003519956,23.34,57.29660391807556,0.027175482,0.6622873246669769
58868,0.20846482,5.553571,1575000,63,-0.046391983,0.13220401,15750,1.1173509322758763,0.005448318,24.5,58.17262411117554,0.024592001,0.6592747569084167
59793,0.19621803,5.5377707,1600000,64,-0.04667692,0.13175598,16000,1.1167746082095256,0.0064450046,24.23,59.05539584159851,0.026479866,0.6636582911014557
58806,0.19253604,5.5274715,1625000,65,-0.045890488,0.13544,16250,0.9660371290316744,0.006146397,25.32,59.90903830528259,0.035870366,0.6690785884857178
57913,0.20016424,5.518655,1650000,66,-0.046120007,0.11231999,16500,1.1102763748640792,0.0041493475,21.54,60.76787614822388,0.025097057,0.6543859243392944
58277,0.20166507,5.5136695,1675000,67,-0.04402139,0.088948004,16750,1.3047372480062769,0.0008193666,25.55,61.6266770362854,0.021867523,0.6768332719802856
58386,0.20379563,5.5064225,1700000,68,-0.043990858,0.095231995,17000,1.1354937505248381,0.0012263751,23.56,62.49097681045532,0.016628653,0.674752801656723
59104,0.18680248,5.501448,1725000,69,-0.044659793,0.099244,17250,1.073819585983656,0.0020215583,24.75,63.34826040267944,0.023510322,0.6779485046863556
58090,0.19327393,5.493281,1750000,70,-0.045268882,0.11999601,17500,1.0607175312214532,0.0030603537,22.83,64.2021005153656,0.021641675,0.683953046798706
48215,0.19351105,5.48293,1775000,71,-0.04350942,0.07984801,17750,1.102333090409868,0.0005103854,22.75,65.04609179496765,0.013131702,0.6950186192989349
57667,0.19894573,5.476037,1800000,72,-0.04402147,0.12899598,18000,1.251569430470745,0.0061287293,25.46,65.98534274101257,0.018668614,0.6745476722717285
57668,0.1852816,5.467326,1825000,73,-0.04568647,0.19213599,18250,0.9307832629509357,0.012601053,19.55,66.84882640838623,0.06621674,0.7017885148525238
57545,0.18425049,5.4599676,1850000,74,-0.041702338,0.07569601,18500,1.1635200789284863,-0.00013026367,23.42,67.71941709518433,0.011196606,0.7104224562644958
58885,0.18561216,5.451789,1875000,75,-0.042533487,0.18887201,18750,0.9830645544181607,0.01027306,23.57,68.58432102203369,0.032507718,0.717890202999115
57419,0.20612459,5.441872,1900000,76,-0.041811638,0.19813201,19000,1.1741929960694688,0.013251202,24.11,69.43920969963074,0.07145438,0.7124184668064117
58379,0.19789086,5.433345,1925000,77,-0.042767614,0.094972,19250,1.1285368597720662,0.003943837,24.16,70.30066061019897,0.0141555425,0.6882491409778595
58338,0.16836038,5.4232993,1950000,78,-0.0432904,0.137908,19500,1.1786110918216945,0.0035480529,24.27,71.1610357761383,0.02735266,0.7240475416183472
59287,0.1780796,5.410036,1975000,79,-0.040983588,0.11301601,19750,1.1513733951645555,0.004965359,24.0,72.02378845214844,0.02566731,0.7150743007659912
57618,0.17890048,5.398151,2000000,80,-0.040691882,0.085847996,20000,1.10109231027629,0.0007179702,21.7,72.86645650863647,0.012800837,0.7151759266853333
56657,0.1822861,5.3840327,2025000,81,-0.040583506,0.08980399,20250,1.3567013099714131,0.0024134712,27.28,73.72851085662842,0.012609348,0.7223508656024933
58647,0.1691479,5.3702254,2050000,82,-0.041134786,0.13069601,20500,1.1687445038097213,0.0038795457,25.08,74.58795762062073,0.022874966,0.7399080991744995
58377,0.17782395,5.3590627,2075000,83,-0.042191416,0.107816,20750,0.9548048276186455,0.0037374212,22.16,75.4469907283783,0.018667543,0.734077125787735
58185,0.18163322,5.3512917,2100000,84,-0.040071048,0.089196,21000,1.2484159708708467,0.003319107,24.81,76.30229640007019,0.010403945,0.730146199464798
58085,0.17521779,5.339731,2125000,85,-0.04070491,0.12611201,21250,1.1167259014227602,0.003018125,22.62,77.1646637916565,0.018481571,0.7486809194087982
58286,0.18335003,5.3286147,2150000,86,-0.041830596,0.067144,21500,0.9799396593171695,0.0003994434,24.17,78.02025938034058,0.010594892,0.7392735183238983
