total_timesteps,value_loss,fps,policy_loss,ep_reward_mean,approxkl,serial_timesteps,time_elapsed,clipfrac,policy_entropy,explained_variance,n_updates,ep_len_mean,true_reward
25000,84.60204,5275,0.20906349,-1.5787856316984472,50.373085,250,0.001161336898803711,0.49924797,5.6765428,-11.346473693847656,1,14.62,-0.31124938
50000,90.07584,58128,0.1711824,-1.8721982101931645,3.107274,500,5.317247629165649,0.46038,5.680331,-9.525896072387695,2,16.22,-0.30699518
75000,68.01314,57920,0.15210442,-1.8291344813269825,3.3906925,750,6.175722122192383,0.37660402,5.686341,-9.129602432250977,3,16.49,-0.30876413
100000,65.23744,58386,0.124534845,-1.8544065827241867,0.50626564,1000,7.048161745071411,0.360988,5.6929255,-9.581195831298828,4,16.17,-0.3058195
125000,57.254353,58759,0.09878236,-2.014106997535955,0.19602631,1250,7.911137104034424,0.255496,5.6988354,-7.561323165893555,5,17.73,-0.30586788
150000,53.4758,57816,0.12879632,-1.4149772709865647,1.0809934,1500,8.767102479934692,0.341356,5.704251,-9.830399513244629,6,14.2,-0.31040642
175000,45.96604,57996,0.12560995,-2.2325535717206004,0.9671078,1750,9.637560367584229,0.31517202,5.7104783,-6.411503314971924,7,18.18,-0.30710384
200000,41.085793,56242,0.13172601,-1.7960052687153802,1.0846457,2000,10.509315013885498,0.32461601,5.717701,-7.66075325012207,8,15.75,-0.30921948
225000,32.93418,58680,0.086296506,-2.213063886502241,0.1958708,2250,11.379949569702148,0.27882797,5.7261796,-6.158396244049072,9,19.05,-0.3116444
250000,35.38059,57957,0.081687465,-2.245737540633345,0.19022056,2500,12.231041431427002,0.213484,5.731757,-6.9720458984375,10,18.52,-0.30535603
275000,35.431427,58019,0.16163966,-1.8121362277695119,9.746212,2750,13.09634017944336,0.38493198,5.7361574,-6.447059631347656,11,15.92,-0.30362773
300000,32.700672,58394,0.15090862,-1.6068840871255452,1.9222717,3000,13.949515581130981,0.38137603,5.742957,-8.120270729064941,12,15.61,-0.30450565
325000,27.953222,59596,0.06490866,-1.2901552529264881,0.079247735,3250,14.809048891067505,0.17459199,5.75009,-6.92896842956543,13,14.65,-0.30595174
350000,27.881601,60179,0.09086277,-1.6200752412833663,0.20089686,3500,15.651914834976196,0.243944,5.7557025,-8.120134353637695,14,14.3,-0.30664375
375000,22.058054,58852,0.059396993,-1.914075014342452,0.07300898,3750,16.50064206123352,0.144896,5.760268,-6.31747579574585,15,15.77,-0.30593774
400000,22.879257,57035,0.089267515,-1.6978609440590662,0.31466305,4000,17.34767985343933,0.20494398,5.762969,-5.074056148529053,16,14.82,-0.30412892
425000,20.23264,58987,0.052175134,-1.8590587380148644,0.05386775,4250,18.222411632537842,0.165432,5.7666006,-6.201448917388916,17,16.52,-0.3061099
450000,17.723387,58002,0.057749353,-1.7314823885423538,0.09369098,4500,19.078574657440186,0.165252,5.769494,-5.125059127807617,18,15.7,-0.3058232
475000,15.671217,58035,0.0532417,-2.0057799791218986,0.10361199,4750,19.943463802337646,0.152032,5.769793,-4.338287353515625,19,17.26,-0.30430308
500000,13.340294,58907,0.084930256,-1.8725532070869304,0.2891022,5000,20.806342363357544,0.254388,5.771212,-4.086179256439209,20,16.12,-0.30794683
525000,10.329024,56839,0.088747844,-1.9957120322717674,0.3254258,5250,21.651963710784912,0.266296,5.7759776,-3.0991082191467285,21,17.72,-0.30748966
550000,8.474794,57240,0.03613605,-1.7682316017465565,0.032376163,5500,22.51452326774597,0.123500004,5.7815957,-2.915982246398926,22,17.15,-0.30732775
